Term,PosScore,NegScore,Bangla
direct,0.75,0.0,সরাসরি
adoptable,0.75,0.0,গ্রহণযোগ্য
due,0.75,0.0,বাকি
ravishing,0.75,0.0,আনন্দজনক
benefic,0.75,0.0,উপকারী
unsurpassable,1.0,0.0,অনতিক্রম্য
thorough,0.75,0.0,পুঙ্খানুপুঙ্খ
cautious,0.75,0.0,সাবধান
competent,0.75,0.0,উপযুক্ত
workmanlike,0.75,0.0,শ্রমিকতুল্য
competent,0.75,0.0,উপযুক্ত
full-blown,0.75,0.0,পূর্ণবিকশিত
conspicuous,0.75,0.0,সুস্পষ্ট
differentiable,0.75,0.0,differentiable
constant,0.75,0.125,ধ্রুব
incorrupt,0.75,0.25,incorrupt
corn-fed,0.75,0.0,ভূট্টা খাওয়ানো
decorous,0.75,0.0,শোভন
definite,0.75,0.0,নির্দিষ্ট
importunate,0.75,0.125,নাছোড়বান্দা
plummy,0.75,0.0,মনোরম
discerning,0.875,0.0,নির্ণায়ক
incisive,0.75,0.0,ব্যঙ্গকারী
metal-cutting,0.75,0.0,ধাতু কাটার
bounden,0.875,0.0,অবশ্যপালনীয়
disenchanted,0.875,0.0,মোহমুক্তি
exportable,0.75,0.0,চালানি
enlightened,0.75,0.0,আলোকিত
estimable,1.0,0.0,শ্রদ্ধেয়
exchangeable,0.75,0.0,বিনিময়যোগ্য
expendable,0.75,0.0,ব্যয় করা যয় এমন
extricable,0.75,0.0,উদ্ধারযোগ্য
fit,0.75,0.0,হইয়া
pleasant-smelling,0.75,0.0,মনোরম গন্ধী
goodish,0.75,0.0,goodish
goody-goody,0.875,0.0,নেহাৎ ভালমানুষ
white,0.75,0.0,সাদা
good-natured,0.75,0.0,সত্স্বভাব
gainly,0.875,0.0,gainly
bouncing,0.75,0.0,প্রাণচঞ্চল
firm,0.875,0.0,দৃঢ়
hearty,0.75,0.0,বলিষ্ঠ
well-preserved,0.75,0.0,ভালভাবে সংরক্ষিত
laureate,0.75,0.0,বিজয়ী
droll,0.75,0.0,হাস্যরসিক
measurable,0.75,0.0,পরিমেয়
intellectual,0.875,0.0,বুদ্ধিজীবী
inviting,0.75,0.0,আমন্ত্রণ জানিয়ে
gladsome,0.75,0.0,হাসিখুশি
singable,0.75,0.0,গেয়
moralistic,0.75,0.125,নীতি
incorrupt,0.75,0.25,incorrupt
licit,0.75,0.0,বিদার প্রস্তাব
incumbent,0.875,0.0,শায়িত্ব
unimpassioned,0.75,0.0,অনুত্তেজিত
finished,0.75,0.0,সমাপ্ত
microscopic,0.75,0.0,আণুবীক্ষণিক
halal,0.75,0.0,বৈধ
kosher,0.75,0.0,খাঁটি
disarming,0.75,0.125,নিরস্ত্র
white,0.75,0.125,সাদা
ladylike,0.75,0.0,আর্যা
unprintable,0.75,0.25,অমুদ্রণীয়
diffident,0.875,0.0,আত্মবিশ্বাসহীন
answerable,0.875,0.0,দায়ী
emancipative,0.75,0.125,emancipative
danceable,0.75,0.0,danceable
opposite,0.75,0.125,বিপরীত
antiseptic,0.75,0.25,বীজবারক
shapely,0.75,0.0,সুষম
well-proportioned,0.75,0.0,সুসমন্বিত
sound,0.75,0.0,শব্দ
straightarrow,0.875,0.125,straightarrow
upper,0.75,0.0,উচ্চতর
banner,0.875,0.0,পতাকা
gilt-edged,0.75,0.0,শ্রেষ্ঠ শ্রেণীর
premium,0.75,0.0,প্রিমিয়াম
shining,0.75,0.0,জ্বলজ্বলে
spiffing,0.875,0.0,spiffing
choice,0.75,0.125,পছন্দ
serviceable,0.75,0.0,কার্যোপযোগী
sacred,0.75,0.0,পবিত্র
constitutional,0.75,0.0,শাসনতান্ত্রিক
deliverable,0.75,0.0,প্রেরন
ducal,0.75,0.0,ডিউকোচিত
masterstroke,0.75,0.0,অতিশয় নিপুণ
pleasantry,0.75,0.0,কৌতুক
indignity,0.75,0.0,অসম্মান
props,0.875,0.0,সাজসরঞ্জাম
titillation,0.75,0.0,সুড়সুড়ি
beatification,0.75,0.0,স্বর্গসুখভোগ
rambouillet,0.75,0.0,Rambouillet
character,0.875,0.0,চরিত্র
drama,0.75,0.0,নাটক
chirpiness,0.75,0.0,chirpiness
vivacity,0.75,0.25,চপলতা
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,bluffness
picturesqueness,0.875,0.0,picturesqueness
pleasingness,0.75,0.0,pleasingness
attractiveness,0.75,0.0,চটক
innateness,0.75,0.25,innateness
totality,0.75,0.0,সাকল্য
looseness,0.75,0.25,চরিত্রহীনতা
wholesomeness,0.875,0.0,wholesomeness
healthfulness,0.875,0.0,healthfulness
trueness,0.75,0.0,অবিতথ
tastefulness,0.875,0.0,tastefulness
urbanity,0.875,0.0,শহুরে প্রভাব
conscientiousness,0.75,0.0,সুবুদ্ধি
safeness,0.75,0.25,safeness
scrupulousness,0.75,0.0,বিবেকনিষ্ঠা
integrity,0.875,0.125,অখণ্ডতা
probity,0.75,0.0,সাধুতা
artfulness,0.75,0.0,চতুরতা
dedication,0.875,0.0,উত্সর্জন
urbanity,0.875,0.0,শহুরে প্রভাব
crispness,0.875,0.0,কুঁচিতকরণ
extremeness,0.75,0.25,চরমাবস্থা
reasonableness,0.75,0.0,যুক্তিবাদিতা
affirmativeness,0.75,0.0,affirmativeness
importance,0.75,0.125,গুরুত্ব
account,0.875,0.125,হিসাব
meaningfulness,0.75,0.125,অর্থপূর্ণতা
shrillness,0.75,0.25,shrillness
eye,0.75,0.0,চোখ
logic,0.75,0.0,যুক্তিবিদ্যা
judiciousness,0.875,0.0,পারদর্শিতা
ear,0.75,0.0,কান
balletomania,0.75,0.0,ব্যালে-ভক্তি বা অনুরাগ
mastering,0.75,0.0,নিয়ন্ত্রণ
principle,0.75,0.0,নীতি
hedonism,0.75,0.0,বিধান
courtesy,0.75,0.0,শ্লীলতা
topper,0.75,0.0,ভালমানুষ
divination,0.875,0.0,ভবিষ্যৎ কথন
moralism,0.75,0.125,স্বাভাবিক নৈতিকতা
bonheur,0.875,0.0,সুখ
beneficence,0.75,0.0,বদান্যতা
criollo,0.75,0.0,ক্রেওল
amoralist,0.75,0.0,amoralist
brick,0.75,0.0,ইট
first-rater,1.0,0.0,প্রথম রেট প্রদানকারী
out-and-outer,0.75,0.0,আউট-এবং-বাইরের
pleaser,0.75,0.0,কাছা-ধরা
possible,0.75,0.0,সম্ভব
serendipity,0.75,0.125,লাভজনক
antithesis,0.75,0.0,বৈপরীত্য
contrary,0.75,0.0,বিপরীত
algidity,0.75,0.25,algidity
pathology,0.75,0.125,রোগবিদ্যা
character,0.875,0.0,চরিত্র
fettle,0.75,0.0,খোসমেজাজে
time,0.75,0.0,সময়
simply,0.75,0.0,কেবল
downright,0.75,0.0,নিতান্ত
recuperate,0.75,0.0,পুনরূদ্ধার করা
redound,0.75,0.0,অতিরিক্ত হত্তয়া
enervate,0.75,0.0,শক্তিহীন করা
delouse,0.75,0.0,গা থেকে উকুন তাড়ানো
think,0.75,0.0,মনে
receive,0.75,0.0,গ্রহণ করা
consider,0.75,0.0,বিবেচনা
give,0.75,0.125,দিতে
filigree,0.875,0.0,তারের
stultify,0.75,0.125,বোকা বানান
see,0.75,0.0,দেখা
vest,0.875,0.0,ন্যস্ত করা
agree,0.875,0.0,একমত
suit,0.875,0.0,মামলা
belong,0.75,0.0,অন্তর্গত
make,0.875,0.0,করতে
sensation,0.9,0.0,সংবেদন
thriving,0.9,0.0,সমৃদ্ধ
marvels,0.9,0.0,বিস্ময়কর
vibrant,0.9,0.0,অনুনাদশীল
fragrant,0.9,0.0,সুগন্ধি
enthusiast,0.9,0.0,কৌতূহলী ব্যক্তি
successfully,0.9,0.0,সফলভাবে
gifted,0.9,0.0,প্রতিভাধর
unequivocal,0.9,0.0,দ্ব্যর্থহীন
readily,0.9,0.0,ইচ্ছাপূর্বক
solicitously,0.9,0.0,solicitously
enchantingly,0.9,0.0,enchantingly
gold,0.9,0.0,স্বর্ণ
comforting,0.9,0.0,সান্ত্বনা
portable,0.9,0.0,সুবহ
sensations,0.9,0.0,"sensations,"
truthful,0.9,0.0,সত্যবাদী
notably,0.9,0.0,লক্ষণীয়ভাবে
bonny,0.9,0.0,নাদুসনুদুস
adulate,0.9,0.0,খোশামুদি করা
jolly,0.9,0.0,বলিষ্ঠ
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,আকাঙ্ক্ষা
venerate,0.9,0.0,শ্রদ্ধা করা
liking,0.9,0.0,পছন্দ
sweeping,0.9,0.0,সুদূরপ্রসারিত
flexible,0.9,0.0,নমনীয়
liberty,0.9,0.0,স্বাধীনতা
refresh,0.9,0.0,সতেজ করা
vivacious,0.9,0.0,প্রাণবন্ত
gem,0.9,0.0,মণি
impress,0.9,0.0,ইমপ্রেস
trumpet,0.9,0.0,ডঙ্কা
entrust,0.9,0.0,গচ্ছিত রাখা
catchy,0.9,0.0,প্রতারণামূলক
talents,0.9,0.0,প্রতিভা
retractable,0.9,0.0,সঙ্কোচনীয়
passionate,0.9,0.0,কামুক
triumph,0.9,0.0,জয়জয়কার
afordable,0.9,0.0,afordable
congratulations,0.9,0.0,অভিনন্দন
bargain,0.9,0.0,চুক্তি
glad,0.9,0.0,আনন্দিত
rejuvenated,0.9,0.0,যুগে
top,0.9,0.0,শীর্ষ
gladden,0.9,0.0,মনোরম করা
energize,0.9,0.0,শক্তি ভরণ করা
humane,0.9,0.0,দয়ালু
swank,0.9,0.0,সদম্ভ আচরণ
insightfully,0.9,0.0,insightfully
courageousness,0.9,0.0,courageousness
fancinating,0.9,0.0,fancinating
maturity,0.9,0.0,পরিপক্বতা
energy-efficient,0.9,0.0,দক্ষ শক্তি
calm,0.9,0.0,শান্ত
desirable,0.9,0.0,কাম্য
poeticize,0.9,0.0,কবিত্ব করা
easiest,0.9,0.0,সবচেয়ে সহজ পদ্ধিতি হল
low-price,0.9,0.0,কম মূল্য
striving,0.9,0.0,দৌড়ানো ছাড়া
advantage,0.9,0.0,সুবিধা
cheerful,0.9,0.0,আনন্দিত
ample,0.9,0.0,প্রশস্ত
steady,0.9,0.0,অবিচলিত
effortless,0.9,0.0,অনায়াস
innovation,0.9,0.0,নবপ্রবর্তিত বস্তু
fine-looking,0.9,0.0,জরিমানা সুদর্শন
wonders,0.9,0.0,বিস্ময়ের
cashback,0.9,0.0,নগদ ফেরত
quicker,0.9,0.0,দ্রুততর
gleeful,0.9,0.0,উল্লসিত
expertly,0.9,0.0,কুশলী
divine,0.9,0.0,ঐশ্বরিক
miraculously,0.9,0.0,দৈবক্রমে
daring,0.9,0.0,সাহসী
pepped,0.9,0.0,pepped
cooperatively,0.9,0.0,করে cooperatively
gainful,0.9,0.0,লাভজনক
rewarding,0.9,0.0,ফলপ্রসূ
magnificently,0.9,0.0,চমত্কারভাবে
captivate,0.9,0.0,Captivate
exceeding,0.9,0.0,মাত্রাধিক
ready,0.9,0.0,প্রস্তুত
invaluablely,0.9,0.0,invaluablely
modesty,0.9,0.0,বিনয়
innovative,0.9,0.0,উদ্ভাবনী
rapturous,0.9,0.0,উল্লাসপূর্ণ
soulful,0.9,0.0,গভীর বা উচ্চ ভাবপূর্ন
hard-working,0.9,0.0,কঠোর পরিশ্রম
understandable,0.9,0.0,বোধগম্য
resourcefulness,0.9,0.0,উর্বর মস্তিষ্ক
illumine,0.9,0.0,দীপ্ত
trusty,0.9,0.0,বিশ্বস্ত
patriot,0.9,0.0,দেশপ্রেমিক
amply,0.9,0.0,কানায় কানায়
appreciate,0.9,0.0,তারিফ করা
large-capacity,0.9,0.0,বড় ধারণক্ষমতা
ardent,0.9,0.0,জ্বলন্ত
inspiration,0.9,0.0,অনুপ্রেরণা
topnotch,0.9,0.0,প্রথম শ্রেণী
fluent,0.9,0.0,অনর্গল
well-balanced,0.9,0.0,বিজ্ঞ
clear-cut,0.9,0.0,সুস্পষ্ট
lovely,0.9,0.0,সুদৃশ্য
frugal,0.9,0.0,মিতব্যয়ী
affirm,0.9,0.0,নিশ্চিত করা
idealize,0.9,0.0,আদর্শায়িত করা
great,0.9,0.0,মহান
profoundly,0.9,0.0,অঘোরে
gumption,0.9,0.0,কাণ্ডজ্ঞান
elation,0.9,0.0,উল্লাস
stability,0.9,0.0,স্থায়িত্ব
spellbound,0.9,0.0,হতবাক
obsessions,0.9,0.0,obsessions
applaud,0.9,0.0,Applaud
willing,0.9,0.0,রাজী
well-bred,0.9,0.0,সুশিক্ষাপ্রপ্ত
cleanly,0.9,0.0,পরিচ্ছন্ন
graciousness,0.9,0.0,দয়া
constructive,0.9,0.0,গঠনমূলক
pampers,0.9,0.0,pampers
hotcakes,0.9,0.0,তাজা খবর
realistic,0.9,0.0,বাস্তবানুগ
nicely,0.9,0.0,চমত্কারভাবে
unbiased,0.9,0.0,পক্ষপাতশূন্য
virtuously,0.9,0.0,virtuously
free,0.9,0.0,বিনামূল্যে
fairly,0.9,0.0,নিরপেক্ষভাবে
cushy,0.9,0.0,আরামপ্রদ
grand,0.9,0.0,লম্বা
admirer,0.9,0.0,Admire
peaceable,0.9,0.0,শান্তিপ্রবণ
laud,0.9,0.0,টেবিল
renewed,0.9,0.0,নূতন
inspire,0.9,0.0,Inspire
buoyant,0.9,0.0,প্রফুল্ল
humility,0.9,0.0,নম্রতা
stabilize,0.9,0.0,স্থির রাখা
hopeful,0.9,0.0,আশাপূর্ণ
staunchness,0.9,0.0,staunchness
tenderly,0.9,0.0,সদয়ভাবে
amiabily,0.9,0.0,amiabily
liberation,0.9,0.0,স্বাধীনতা
loveliness,0.9,0.0,কমনীয়তা
stunned,0.9,0.0,স্তব্ধ
seamless,0.9,0.0,বিজোড়
supremely,0.9,0.0,সর্ব্বোচ্চ
capable,0.9,0.0,সক্ষম
firmer,0.9,0.0,শক্ত হয়ে উঠবে
overture,0.9,0.0,প্রস্তাব
chivalrous,0.9,0.0,সাহসী
ingeniously,0.9,0.0,সুকৌশলে
freedom,0.9,0.0,স্বাধীনতা
well-positioned,0.9,0.0,ভালভাবে স্থান
balanced,0.9,0.0,সুষম
refunded,0.9,0.0,ফেরত
triumphal,0.9,0.0,বিজয়ী
angelic,0.9,0.0,দেবদূতোপম
matchless,0.9,0.0,তুলনাহীন
tenacious,0.9,0.0,অনমনীয়
successful,0.9,0.0,সফল
powerfully,0.9,0.0,জোরে
uplifting,0.9,0.0,উৎসাহজনক
dynamic,0.9,0.0,প্রগতিশীল
thankful,0.9,0.0,কৃতজ্ঞ
cuteness,0.9,0.0,বুদ্ধিসম্পন্নতা
champ,0.9,0.0,ক্ষেত্র
intriguingly,0.9,0.0,intriguingly
sufficiently,0.9,0.0,পর্যাপ্ত
pepping,0.9,0.0,pepping
god-send,0.9,0.0,আল্লাহর পাঠান
mature,0.9,0.0,পরিণত
top-quality,0.9,0.0,শীর্ষ মানের
efficient,0.9,0.0,দক্ষ
easy-to-use,0.9,0.0,ব্যবহার করা সহজ
peppy,0.9,0.0,প্রফুল্ল
idol,0.9,0.0,প্রতিমা
elegantly,0.9,0.0,এইরূপ সূচারূভাবে
glorious,0.9,0.0,মহিমান্বিত
insightful,0.9,0.0,অন্তর্দৃষ্টিপূর্ণ
economical,0.9,0.0,লাভজনক
reassurance,0.9,0.0,প্রত্যয়-উত্পাদন
premier,0.9,0.0,প্রথম
redeem,0.9,0.0,খালাস করা
pain-free,0.9,0.0,ব্যথামুক্ত
supporter,0.9,0.0,পৃষ্ঠপোষক
rejoicingly,0.9,0.0,আনন্দভাবে
dawn,0.9,0.0,ভোর
gutsy,0.9,0.0,সাহসী
terrifically,0.9,0.0,terrifically
imaculate,0.9,0.0,imaculate
appreciated,0.9,0.0,উপলব্ধ
strongest,0.9,0.0,শক্তিশালী
accomplish,0.9,0.0,সাধা
stimulate,0.9,0.0,চেতান
distinguished,0.9,0.0,আলাদা
joy,0.9,0.0,আনন্দ
enjoyed,0.9,0.0,আস্বাদিত
elate,0.9,0.0,উত্ফুল্ল
benefit,0.9,0.0,সুবিধা
openness,0.9,0.0,অকপটতা
achievement,0.9,0.0,কৃতিত্ব
honorable,0.9,0.0,সম্মানিত
salute,0.9,0.0,স্বাস্থ্য
genuine,0.9,0.0,অকৃত্রিম
unbound,0.9,0.0,শিথিল
convienient,0.9,0.0,convienient
enlighten,0.9,0.0,জ্বালান
dumbfounding,0.9,0.0,dumbfounding
unabashed,0.9,0.0,অলজ্জিত
rapturously,0.9,0.0,rapturously
steadiness,0.9,0.0,অটলতা
sensationally,0.9,0.0,চমকপ্রদভাবে
clearer,0.9,0.0,পরিষ্কার
selective,0.9,0.0,নির্বাচক
affirmative,0.9,0.0,হাঁ-সূচক
dirt-cheap,0.9,0.0,পানির দরে
trust,0.9,0.0,আস্থা
enthusiasm,0.9,0.0,উদ্যম
undaunted,0.9,0.0,অকুতোভয়
courageously,0.9,0.0,সাহসে
useful,0.9,0.0,দরকারী
adequate,0.9,0.0,পর্যাপ্ত
jubilation,0.9,0.0,আনন্দধ্বনি
admirably,0.9,0.0,প্রশংসনীয়রূপে
phenomenally,0.9,0.0,বিস্ময়কর
decisiveness,0.9,0.0,সিদ্ধান্তহীনতার
cozy,0.9,0.0,আরামদায়ক
compassion,0.9,0.0,সমবেদনা
handier,0.9,0.0,handier
clears,0.9,0.0,মুছে ফেলা হবে
convincingly,0.9,0.0,প্রানবন্ত
preferring,0.9,0.0,করা উচিত ছিল
sagely,0.9,0.0,sagely
viewable,0.9,0.0,দর্শনীয়
awesome,0.9,0.0,অসাধারণ
abounds,0.9,0.0,প্রচুর
keenness,0.9,0.0,প্রখরা
awards,0.9,0.0,পুরষ্কার
supportive,0.9,0.0,সহায়ক
fine,0.9,0.0,জরিমানা
pamperedness,0.9,0.0,pamperedness
unrivaled,0.9,0.0,অতুলনীয়
best-selling,0.9,0.0,সেরা বিক্রয়
hearten,0.9,0.0,উত্সাহ দেত্তয়া
sturdier,0.9,0.0,sturdier
advantages,0.9,0.0,সুবিধাদি
panoramic,0.9,0.0,প্যানরোমিক
enhanced,0.9,0.0,বর্ধিত
eulogize,0.9,0.0,প্রশংসা
lighter,0.9,0.0,লাইটার
won,0.9,0.0,ওঁন
comprehensive,0.9,0.0,ব্যাপক
revival,0.9,0.0,রেনেসাঁ
skilled,0.9,0.0,দক্ষ
enticing,0.9,0.0,প্রলুব্ধকর
tenacity,0.9,0.0,তানতা
supporting,0.9,0.0,সমর্থন
greatest,0.9,0.0,সর্বাধিক
fabulously,0.9,0.0,অবিশ্বাস্য রকমের
altruistic,0.9,0.0,কল্যাণময়
enticingly,0.9,0.0,enticingly
silent,0.9,0.0,নীরব
pleasant,0.9,0.0,মনোরম
fondness,0.9,0.0,অনুরাগ
upgradeable,0.9,0.0,আপগ্রেড
phenomenal,0.9,0.0,বিষ্ময়কর
fans,0.9,0.0,ভক্ত
state-of-the-art,0.9,0.0,রাষ্ট্র-এর-শিল্প
noble,0.9,0.0,উন্নতচরিত্র
fast-growing,0.9,0.0,দ্রুত বর্ধনশীল
serene,0.9,0.0,নির্মেঘ
handsomely,0.9,0.0,উত্তম পন্থায় বিদায়
nourish,0.9,0.0,পুষা
usable,0.9,0.0,উপভোগ্য
spotless,0.9,0.0,নিষ্কলুষ
bless,0.9,0.0,আশীর্বাদ করা
exemplar,0.9,0.0,আদর্শ
poignant,0.9,0.0,কটু
ambitious,0.9,0.0,উচ্চাকাঙ্ক্ষী
worked,0.9,0.0,কাজ করছে
proud,0.9,0.0,গর্বিত
enrich,0.9,0.0,সমৃদ্ধ
kindness,0.9,0.0,উদারতা
warmth,0.9,0.0,উত্তাপ
excitement,0.9,0.0,হুজুগ
sweetly,0.9,0.0,দেহটা মিষ্টি লাগবে
blithe,0.9,0.0,ফূর্তিবাজ
contribution,0.9,0.0,অবদান
rejuvenating,0.9,0.0,আয়ুষ্কর
intimacy,0.9,0.0,অন্তরঙ্গতা
effectively,0.9,0.0,কার্যকরীভাবে
wholesome,0.9,0.0,পথ্য
approve,0.9,0.0,অনুমোদন করা
truthfulness,0.9,0.0,সত্যবাদিতা
handily,0.9,0.0,handily
staunchly,0.9,0.0,অবিচলিতভাবে
prominence,0.9,0.0,অভিক্ষিপ্তাবস্থা
merciful,0.9,0.0,দয়ালু
stirringly,0.9,0.0,stirringly
outdone,0.9,0.0,অতিক্রান্ত
overtake,0.9,0.0,নাগাল ধরা
unbeatable,0.9,0.0,অপরাজেয়
sufficient,0.9,0.0,যথেষ্ট
ardently,0.9,0.0,প্রখরভাবে
classic,0.9,0.0,সর্বোত্তম
civility,0.9,0.0,ভদ্রতা
ingenuity,0.9,0.0,অকপটতা
masterpiece,0.9,0.0,মাষ্টারপিস
fidelity,0.9,0.0,বিশ্বস্ততা
reliable,0.9,0.0,বিশ্বাসযোগ্য
charisma,0.9,0.0,অনন্যসাধারণ প্রতিভা
readable,0.9,0.0,সুপাঠ্য
compatible,0.9,0.0,উপযুক্ত
fulfillment,0.9,0.0,সিদ্ধি
skillfully,0.9,0.0,দক্ষতার সঙ্গে
tingle,0.9,0.0,শিহরণ
excel,0.9,0.0,সীমা অতিক্রম করা
enviously,0.9,0.0,enviously
swanky,0.9,0.0,চট্পটে
celebration,0.9,0.0,অনুষ্ঠান
progress,0.9,0.0,উন্নতি
empowerment,0.9,0.0,ক্ষমতায়ন
tranquility,0.9,0.0,প্রশান্তি
led,0.9,0.0,এলইডি
achievible,0.9,0.0,achievible
bright,0.9,0.0,উজ্জ্বল
appreciatively,0.9,0.0,কৃতজ্ঞতার সঙ্গে
inspirational,0.9,0.0,অনুপ্রেরণীয়
accessible,0.9,0.0,প্রবেশযোগ্য
lionhearted,0.9,0.0,lionhearted
refreshing,0.9,0.0,সতেজকারক
splendidly,0.9,0.0,splendidly
marvelous,0.9,0.0,অবিশ্বাস্য
illustrious,0.9,0.0,প্রসিদ্ধ
revives,0.9,0.0,পুনর্জীবন
originality,0.9,0.0,মৌলিকত্ব
gratification,0.9,0.0,পরিতৃপ্তি
motivated,0.9,0.0,উদ্দেশ্যমূলক
playfully,0.9,0.0,খেলাচ্ছলে
awe,0.9,0.0,সম্ভ্রম
overtakes,0.9,0.0,পতিত
eloquent,0.9,0.0,বাকপটু
proficient,0.9,0.0,দক্ষ
cheapest,0.9,0.0,প্রসঙ্গ
intelligible,0.9,0.0,বুদ্ধিগম্য
luxuriant,0.9,0.0,প্রাচুর্যপূর্ণ
adaptable,0.9,0.0,অভিযোজ্য
enraptured,0.9,0.0,খাড়া করা
luckiest,0.9,0.0,ভাগ্যবান
healthy,0.9,0.0,সুস্থ
luster,0.9,0.0,দীপ্তি
brotherly,0.9,0.0,ভ্রাতৃভাবে
compliment,0.9,0.0,শংসা
leading,0.9,0.0,নেতৃত্ব
fortunately,0.9,0.0,ভাগ্যক্রমে
resplendent,0.9,0.0,প্রভাময়
obtainable,0.9,0.0,গম্য
