Term,PosScore,NegScore,Gujarati
direct,0.75,0.0,સીધા
adoptable,0.75,0.0,સ્વીકાર્ય
due,0.75,0.0,કારણે
ravishing,0.75,0.0,અસ્પષ્ટ
benefic,0.75,0.0,લાભકારક
unsurpassable,1.0,0.0,અસહ્ય
thorough,0.75,0.0,સંપૂર્ણ
cautious,0.75,0.0,સાવધ
competent,0.75,0.0,સક્ષમ
workmanlike,0.75,0.0,કામદાર
competent,0.75,0.0,સક્ષમ
full-blown,0.75,0.0,સંપૂર્ણ વિકસિત
conspicuous,0.75,0.0,સુસ્પષ્ટ
differentiable,0.75,0.0,તફાવતયોગ્ય
constant,0.75,0.125,સતત
incorrupt,0.75,0.25,અવ્યવસ્થિત
corn-fed,0.75,0.0,મકાઈવાળા
decorous,0.75,0.0,સુશોભન
definite,0.75,0.0,ચોક્કસ
importunate,0.75,0.125,ઇમ્પોન્યુટ
plummy,0.75,0.0,પ્લમ્મી
discerning,0.875,0.0,સમજદાર
incisive,0.75,0.0,કર્કશ
metal-cutting,0.75,0.0,મેટલ કટીંગ
bounden,0.875,0.0,બાઉન્ડ
disenchanted,0.875,0.0,છિન્નભિન્ન
exportable,0.75,0.0,નિકાસયોગ્ય
enlightened,0.75,0.0,પ્રબુદ્ધ
estimable,1.0,0.0,અનુમાનિત
exchangeable,0.75,0.0,વિનિમયક્ષમ
expendable,0.75,0.0,ખર્ચ કરવા યોગ્ય
extricable,0.75,0.0,કાricી શકાય તેવું
fit,0.75,0.0,ફિટ
pleasant-smelling,0.75,0.0,સુખદ ગંધ
goodish,0.75,0.0,goodish
goody-goody,0.875,0.0,ગુડી-ગુડી
white,0.75,0.0,સફેદ
good-natured,0.75,0.0,સ્વભાવનું
gainly,0.875,0.0,લાભદાયક
bouncing,0.75,0.0,ncingછળવું
firm,0.875,0.0,પે firmી
hearty,0.75,0.0,હાર્દિક
well-preserved,0.75,0.0,સારી રીતે સાચવેલ
laureate,0.75,0.0,વિજેતા
droll,0.75,0.0,drol
measurable,0.75,0.0,માપી શકાય તેવું
intellectual,0.875,0.0,બૌદ્ધિક
inviting,0.75,0.0,આમંત્રિત
gladsome,0.75,0.0,આનંદકારક
singable,0.75,0.0,ગાવા યોગ્ય
moralistic,0.75,0.125,નૈતિકવાદી
incorrupt,0.75,0.25,અવ્યવસ્થિત
licit,0.75,0.0,બોલી
incumbent,0.875,0.0,ઉપસ્થિત
unimpassioned,0.75,0.0,બેફામ
finished,0.75,0.0,સમાપ્ત
microscopic,0.75,0.0,માઇક્રોસ્કોપિક
halal,0.75,0.0,કાયદેસર
kosher,0.75,0.0,કોશેર
disarming,0.75,0.125,નિ: શસ્ત્ર
white,0.75,0.125,સફેદ
ladylike,0.75,0.0,મહિલા જેવા
unprintable,0.75,0.25,છાપેલું
diffident,0.875,0.0,ભિન્ન
answerable,0.875,0.0,જવાબદાર
emancipative,0.75,0.125,મુક્તિ
danceable,0.75,0.0,નૃત્યકારક
opposite,0.75,0.125,વિરુદ્ધ
antiseptic,0.75,0.25,એન્ટિસેપ્ટિક
shapely,0.75,0.0,સુક્ષ્મ
well-proportioned,0.75,0.0,પ્રમાણસર
sound,0.75,0.0,અવાજ
straightarrow,0.875,0.125,સીધા
upper,0.75,0.0,ઉપલા
banner,0.875,0.0,બેનર
gilt-edged,0.75,0.0,ગિલ્ટ ધાર
premium,0.75,0.0,પ્રીમિયમ
shining,0.75,0.0,ઝળહળતો
spiffing,0.875,0.0,સ્ફિફિંગ
choice,0.75,0.125,પસંદગી
serviceable,0.75,0.0,સેવાયોગ્ય
sacred,0.75,0.0,પવિત્ર
constitutional,0.75,0.0,બંધારણીય
deliverable,0.75,0.0,પહોંચાડવા યોગ્ય
ducal,0.75,0.0,ડ્યુકલ
masterstroke,0.75,0.0,માસ્ટરસ્ટ્રોક
pleasantry,0.75,0.0,સુખદ
indignity,0.75,0.0,ગુસ્સો
props,0.875,0.0,પ્રોપ્સ
titillation,0.75,0.0,ટાઇટિલેશન
beatification,0.75,0.0,બીટિફિકેશન
rambouillet,0.75,0.0,રેમ્બાઇલેટ
character,0.875,0.0,પાત્ર
drama,0.75,0.0,નાટક
chirpiness,0.75,0.0,ચપળતા
vivacity,0.75,0.25,જીવંતતા
mettlesomeness,0.75,0.0,ચતુરતા
bluffness,0.875,0.0,બ્લફનેસ
picturesqueness,0.875,0.0,મનોહરતા
pleasingness,0.75,0.0,ખુશી
attractiveness,0.75,0.0,આકર્ષણ
innateness,0.75,0.25,જન્મજાતતા
totality,0.75,0.0,સંપૂર્ણતા
looseness,0.75,0.25,looseીલાપણું
wholesomeness,0.875,0.0,તંદુરસ્ત
healthfulness,0.875,0.0,સ્વસ્થતા
trueness,0.75,0.0,સત્યતા
tastefulness,0.875,0.0,સ્વાદિષ્ટતા
urbanity,0.875,0.0,શહેરીતા
conscientiousness,0.75,0.0,સદ્ભાવના
safeness,0.75,0.25,સલામતતા
scrupulousness,0.75,0.0,બેભાન
integrity,0.875,0.125,અખંડિતતા
probity,0.75,0.0,સંભાવના
artfulness,0.75,0.0,કલાત્મકતા
dedication,0.875,0.0,સમર્પણ
urbanity,0.875,0.0,શહેરીતા
crispness,0.875,0.0,ચપળતા
extremeness,0.75,0.25,તીવ્રતા
reasonableness,0.75,0.0,વ્યાજબીતા
affirmativeness,0.75,0.0,સમર્થન
importance,0.75,0.125,મહત્વ
account,0.875,0.125,ખાતું
meaningfulness,0.75,0.125,અર્થપૂર્ણતા
shrillness,0.75,0.25,તીવ્રતા
eye,0.75,0.0,આંખ
logic,0.75,0.0,તર્ક
judiciousness,0.875,0.0,ન્યાય
ear,0.75,0.0,કાન
balletomania,0.75,0.0,બેલેટોમેનિયા
mastering,0.75,0.0,નિપુણતા
principle,0.75,0.0,સિદ્ધાંત
hedonism,0.75,0.0,હેડોનિઝમ
courtesy,0.75,0.0,સૌજન્ય
topper,0.75,0.0,ટોપર
divination,0.875,0.0,ભવિષ્યકથન
moralism,0.75,0.125,નૈતિકતા
bonheur,0.875,0.0,સુખ
beneficence,0.75,0.0,લાભ
criollo,0.75,0.0,ક્રેઓલ
amoralist,0.75,0.0,રાજ્યવાદી
brick,0.75,0.0,ઈંટ
first-rater,1.0,0.0,પ્રથમ રેટર
out-and-outer,0.75,0.0,બહાર અને બાહ્ય
pleaser,0.75,0.0,ખુશ
possible,0.75,0.0,શક્ય
serendipity,0.75,0.125,serendipity
antithesis,0.75,0.0,વિરોધાભાસ
contrary,0.75,0.0,વિપરીત
algidity,0.75,0.25,એલજીડીટી
pathology,0.75,0.125,રોગવિજ્ .ાન
character,0.875,0.0,પાત્ર
fettle,0.75,0.0,ગર્ભસ્થ
time,0.75,0.0,સમય
simply,0.75,0.0,ખાલી
downright,0.75,0.0,સીધા
recuperate,0.75,0.0,સ્વસ્થ થવું
redound,0.75,0.0,ગોળાકાર
enervate,0.75,0.0,ઉત્તેજિત કરવું
delouse,0.75,0.0,આનંદ
think,0.75,0.0,વિચારો
receive,0.75,0.0,પ્રાપ્ત કરો
consider,0.75,0.0,ધ્યાનમાં લો
give,0.75,0.125,આપો
filigree,0.875,0.0,ફીલીગરી
stultify,0.75,0.125,stultsfy
see,0.75,0.0,જુઓ
vest,0.875,0.0,વેસ્ટ
agree,0.875,0.0,સંમત
suit,0.875,0.0,દાવો
belong,0.75,0.0,સંબંધિત
make,0.875,0.0,બનાવો
sensation,0.9,0.0,સંવેદના
thriving,0.9,0.0,સમૃદ્ધ
marvels,0.9,0.0,અજાયબી
vibrant,0.9,0.0,જીવંત
fragrant,0.9,0.0,સુગંધિત
enthusiast,0.9,0.0,ઉત્સાહી
successfully,0.9,0.0,સફળતાપૂર્વક
gifted,0.9,0.0,હોશિયાર
unequivocal,0.9,0.0,અસ્પષ્ટ
readily,0.9,0.0,સહેલાઇથી
solicitously,0.9,0.0,એકાંતે
enchantingly,0.9,0.0,મોહક રીતે
gold,0.9,0.0,સોનું
comforting,0.9,0.0,દિલાસો આપે છે
portable,0.9,0.0,પોર્ટેબલ
sensations,0.9,0.0,સંવેદના
truthful,0.9,0.0,સત્યવાદી
notably,0.9,0.0,નોંધનીય
bonny,0.9,0.0,બોની
adulate,0.9,0.0,સ્વીકારવું
jolly,0.9,0.0,આનંદી
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,મહાપ્રાણ
venerate,0.9,0.0,પૂજવું
liking,0.9,0.0,રુચિ પણ ધ્યાનપાત્ર
sweeping,0.9,0.0,સફાઈ
flexible,0.9,0.0,લવચીક
liberty,0.9,0.0,સ્વાતંત્ર્ય
refresh,0.9,0.0,તાજું કરો
vivacious,0.9,0.0,જીવંત
gem,0.9,0.0,મણિ
impress,0.9,0.0,પ્રભાવિત કરો
trumpet,0.9,0.0,ટ્રમ્પેટ
entrust,0.9,0.0,સોંપવું
catchy,0.9,0.0,આકર્ષક
talents,0.9,0.0,પ્રતિભા
retractable,0.9,0.0,પાછો ખેંચી શકાય તેવું
passionate,0.9,0.0,ઉત્સાહી
triumph,0.9,0.0,વિજય
afordable,0.9,0.0,ત્યજી શકાય તેવું
congratulations,0.9,0.0,અભિનંદન
bargain,0.9,0.0,સોદો
glad,0.9,0.0,પ્રસન્ન
rejuvenated,0.9,0.0,કાયાકલ્પ
top,0.9,0.0,ટોચ
gladden,0.9,0.0,ગ્લેડન
energize,0.9,0.0,ઉત્સાહિત કરવું
humane,0.9,0.0,માનવીય
swank,0.9,0.0,swank
insightfully,0.9,0.0,સમજદારીપૂર્વક
courageousness,0.9,0.0,હિંમત
fancinating,0.9,0.0,કાલ્પનિક
maturity,0.9,0.0,પરિપક્વતા
energy-efficient,0.9,0.0,energyર્જા-કાર્યક્ષમ
calm,0.9,0.0,શાંત
desirable,0.9,0.0,ઇચ્છનીય
poeticize,0.9,0.0,કાવ્યાત્મક
easiest,0.9,0.0,સૌથી સરળ
low-price,0.9,0.0,ઓછી કિંમત
striving,0.9,0.0,પ્રયાસશીલ
advantage,0.9,0.0,ફાયદો
cheerful,0.9,0.0,ખુશખુશાલ
ample,0.9,0.0,પૂરતું
steady,0.9,0.0,સ્થિર
effortless,0.9,0.0,સહેલું
innovation,0.9,0.0,નવીનતા
fine-looking,0.9,0.0,સુંદર દેખાવું
wonders,0.9,0.0,અજાયબીઓ
cashback,0.9,0.0,પાછા આવેલા પૈસા
quicker,0.9,0.0,ઝડપી
gleeful,0.9,0.0,આનંદકારક
expertly,0.9,0.0,કુશળતાથી
divine,0.9,0.0,દૈવી
miraculously,0.9,0.0,ચમત્કારિક રીતે
daring,0.9,0.0,હિંમતવાન
pepped,0.9,0.0,peped
cooperatively,0.9,0.0,સહકારથી
gainful,0.9,0.0,લાભકારક
rewarding,0.9,0.0,લાભદાયી
magnificently,0.9,0.0,ભવ્ય રીતે
captivate,0.9,0.0,મોહિત કરવું
exceeding,0.9,0.0,ઓળંગી
ready,0.9,0.0,તૈયાર છે
invaluablely,0.9,0.0,અમૂલ્ય
modesty,0.9,0.0,નમ્રતા
innovative,0.9,0.0,નવીન
rapturous,0.9,0.0,અસ્પષ્ટ
soulful,0.9,0.0,આત્મીય
hard-working,0.9,0.0,ખુબ મહેનતું
understandable,0.9,0.0,સમજી શકાય તેવું
resourcefulness,0.9,0.0,કોઠાસૂઝ
illumine,0.9,0.0,પ્રકાશિત
trusty,0.9,0.0,વિશ્વાસુ
patriot,0.9,0.0,દેશભક્ત
amply,0.9,0.0,પૂરતો
appreciate,0.9,0.0,કદર
large-capacity,0.9,0.0,મોટી ક્ષમતા
ardent,0.9,0.0,પ્રખર
inspiration,0.9,0.0,પ્રેરણા
topnotch,0.9,0.0,ટોપનોચ
fluent,0.9,0.0,અસ્ખલિત
well-balanced,0.9,0.0,સારી રીતે સંતુલિત
clear-cut,0.9,0.0,સ્પષ્ટ કટ
lovely,0.9,0.0,મનોરમ
frugal,0.9,0.0,ફ્રુગલ
affirm,0.9,0.0,ખાતરી
idealize,0.9,0.0,આદર્શ બનાવો
great,0.9,0.0,મહાન
profoundly,0.9,0.0,ગહન
gumption,0.9,0.0,ગમપન
elation,0.9,0.0,ઇલેશન
stability,0.9,0.0,સ્થિરતા
spellbound,0.9,0.0,જોડણી
obsessions,0.9,0.0,મનોગ્રસ્તિઓ
applaud,0.9,0.0,વધાવવું
willing,0.9,0.0,તૈયાર
well-bred,0.9,0.0,સારી સંવર્ધન
cleanly,0.9,0.0,સ્વચ્છ
graciousness,0.9,0.0,દયા
constructive,0.9,0.0,રચનાત્મક
pampers,0.9,0.0,લાડ લડાવવા
hotcakes,0.9,0.0,હોટકેક
realistic,0.9,0.0,વાસ્તવિક
nicely,0.9,0.0,સરસ રીતે
unbiased,0.9,0.0,પક્ષપાતી
virtuously,0.9,0.0,સદ્ગુણપણે
free,0.9,0.0,મફત
fairly,0.9,0.0,એકદમ
cushy,0.9,0.0,કુશળ
grand,0.9,0.0,.ંચું
admirer,0.9,0.0,પ્રશંસક
peaceable,0.9,0.0,શાંતિપૂર્ણ
laud,0.9,0.0,ટેબલ
renewed,0.9,0.0,નવીકરણ
inspire,0.9,0.0,પ્રેરણા
buoyant,0.9,0.0,આનંદકારક
humility,0.9,0.0,નમ્રતા
stabilize,0.9,0.0,સ્થિર
hopeful,0.9,0.0,આશાવાદી
staunchness,0.9,0.0,કટ્ટરતા
tenderly,0.9,0.0,કોમળતાથી
amiabily,0.9,0.0,અમીબિલી
liberation,0.9,0.0,મુક્તિ
loveliness,0.9,0.0,પ્રેમ
stunned,0.9,0.0,સ્તબ્ધ
seamless,0.9,0.0,સીમલેસ
supremely,0.9,0.0,સર્વોત્તમ
capable,0.9,0.0,સક્ષમ
firmer,0.9,0.0,મક્કમ
overture,0.9,0.0,આગળ નીકળી જવું
chivalrous,0.9,0.0,શૂરવીર
ingeniously,0.9,0.0,બુદ્ધિશાળી
freedom,0.9,0.0,સ્વતંત્રતા
well-positioned,0.9,0.0,સારી સ્થિતિમાં છે
balanced,0.9,0.0,સંતુલિત
refunded,0.9,0.0,પરત કર્યું
triumphal,0.9,0.0,વિજયી
angelic,0.9,0.0,દેવદૂત
matchless,0.9,0.0,અનુપમ
tenacious,0.9,0.0,કઠોર
successful,0.9,0.0,સફળ
powerfully,0.9,0.0,શક્તિશાળી
uplifting,0.9,0.0,ઉત્થાન
dynamic,0.9,0.0,ગતિશીલ
thankful,0.9,0.0,આભારી
cuteness,0.9,0.0,ક્યુટનેસ
champ,0.9,0.0,ક્ષેત્ર
intriguingly,0.9,0.0,ષડયંત્રથી
sufficiently,0.9,0.0,પૂરતા પ્રમાણમાં
pepping,0.9,0.0,પીપિંગ
god-send,0.9,0.0,ભગવાન મોકલો
mature,0.9,0.0,પરિપક્વ
top-quality,0.9,0.0,ઉંચી ગુણવત્તા
efficient,0.9,0.0,કાર્યક્ષમ
easy-to-use,0.9,0.0,ઉપયોગમાં સરળ
peppy,0.9,0.0,પપી
idol,0.9,0.0,મૂર્તિ
elegantly,0.9,0.0,સુંદર રીતે
glorious,0.9,0.0,તેજસ્વી
insightful,0.9,0.0,સમજદાર
economical,0.9,0.0,આર્થિક
reassurance,0.9,0.0,ખાતરી
premier,0.9,0.0,પ્રથમ
redeem,0.9,0.0,રિડીમ કરો
pain-free,0.9,0.0,પીડા મુક્ત
supporter,0.9,0.0,સમર્થક
rejoicingly,0.9,0.0,આનંદથી
dawn,0.9,0.0,પરો.
gutsy,0.9,0.0,હિંમતવાન
terrifically,0.9,0.0,ભયાનક રીતે
imaculate,0.9,0.0,કલ્પના
appreciated,0.9,0.0,પ્રશંસા
strongest,0.9,0.0,સૌથી મજબૂત
accomplish,0.9,0.0,પરિપૂર્ણ
stimulate,0.9,0.0,ઉત્તેજીત
distinguished,0.9,0.0,પ્રતિષ્ઠિત
joy,0.9,0.0,આનંદ
enjoyed,0.9,0.0,આનંદ
elate,0.9,0.0,આનંદ
benefit,0.9,0.0,લાભ
openness,0.9,0.0,નિખાલસતા
achievement,0.9,0.0,સિદ્ધિ
honorable,0.9,0.0,માનનીય
salute,0.9,0.0,આરોગ્ય
genuine,0.9,0.0,અસલી
unbound,0.9,0.0,અનબાઉન્ડ
convienient,0.9,0.0,અનુકુળ
enlighten,0.9,0.0,જ્lાન આપવું
dumbfounding,0.9,0.0,મૂર્ખામી
unabashed,0.9,0.0,અનબશેડ
rapturously,0.9,0.0,અત્યાનંદ
steadiness,0.9,0.0,સ્થિરતા
sensationally,0.9,0.0,સનસનાટીભર્યા
clearer,0.9,0.0,સ્પષ્ટ
selective,0.9,0.0,પસંદગીયુક્ત
affirmative,0.9,0.0,હકારાત્મક
dirt-cheap,0.9,0.0,ગંદકી-સસ્તી
trust,0.9,0.0,વિશ્વાસ
enthusiasm,0.9,0.0,ઉત્સાહ
undaunted,0.9,0.0,શંકાસ્પદ
courageously,0.9,0.0,હિંમતથી
useful,0.9,0.0,ઉપયોગી
adequate,0.9,0.0,પર્યાપ્ત
jubilation,0.9,0.0,ઉમંગ
admirably,0.9,0.0,પ્રશંસાપૂર્વક
phenomenally,0.9,0.0,અસાધારણ રીતે
decisiveness,0.9,0.0,નિર્ણાયકતા
cozy,0.9,0.0,હૂંફાળું
compassion,0.9,0.0,કરુણા
handier,0.9,0.0,હેન્ડિયર
clears,0.9,0.0,સાફ કરે છે
convincingly,0.9,0.0,ખાતરીપૂર્વક
preferring,0.9,0.0,પસંદ કરે છે
sagely,0.9,0.0,ageષિએ
viewable,0.9,0.0,જોઈ શકાય તેવું
awesome,0.9,0.0,અદ્ભુત
abounds,0.9,0.0,પુષ્કળ
keenness,0.9,0.0,આતુરતા
awards,0.9,0.0,એવોર્ડ
supportive,0.9,0.0,સહાયક
fine,0.9,0.0,સરસ
pamperedness,0.9,0.0,લાડ લડાવવા
unrivaled,0.9,0.0,અજોડ
best-selling,0.9,0.0,શ્રેષ્ઠ વેચાણ
hearten,0.9,0.0,દિલથી
sturdier,0.9,0.0,sturdier
advantages,0.9,0.0,ફાયદા
panoramic,0.9,0.0,મનોહર
enhanced,0.9,0.0,ઉન્નત
eulogize,0.9,0.0,ગમવું
lighter,0.9,0.0,હળવા
won,0.9,0.0,જીત્યો
comprehensive,0.9,0.0,વ્યાપક
revival,0.9,0.0,પુનરુત્થાન
skilled,0.9,0.0,કુશળ
enticing,0.9,0.0,મોહક
tenacity,0.9,0.0,સખ્તાઇ
supporting,0.9,0.0,સહાયક
greatest,0.9,0.0,મહાન
fabulously,0.9,0.0,કલ્પિતપણે
altruistic,0.9,0.0,પરોપકાર
enticingly,0.9,0.0,લુચ્ચાઈથી
silent,0.9,0.0,મૌન
pleasant,0.9,0.0,સુખદ
fondness,0.9,0.0,શોખ
upgradeable,0.9,0.0,અપગ્રેડેબલ
phenomenal,0.9,0.0,અસાધારણ
fans,0.9,0.0,ચાહકો
state-of-the-art,0.9,0.0,અદ્યતન રાજ્ય
noble,0.9,0.0,ઉમદા
fast-growing,0.9,0.0,ઝડપી વિકસિત
serene,0.9,0.0,શાંત
handsomely,0.9,0.0,ઉદારતાથી
nourish,0.9,0.0,પોષવું
usable,0.9,0.0,ઉપયોગી
spotless,0.9,0.0,નિષ્કલંક
bless,0.9,0.0,આશીર્વાદ
exemplar,0.9,0.0,અનુકરણીય
poignant,0.9,0.0,દ્વેષી
ambitious,0.9,0.0,મહત્વાકાંક્ષી
worked,0.9,0.0,કામ કર્યું
proud,0.9,0.0,ગર્વ
enrich,0.9,0.0,સમૃદ્ધ બનાવો
kindness,0.9,0.0,દયા
warmth,0.9,0.0,હૂંફ
excitement,0.9,0.0,ઉત્તેજના
sweetly,0.9,0.0,મીઠાશથી
blithe,0.9,0.0,બ્લીથ
contribution,0.9,0.0,ફાળો
rejuvenating,0.9,0.0,કાયાકલ્પ
intimacy,0.9,0.0,આત્મીયતા
effectively,0.9,0.0,અસરકારક રીતે
wholesome,0.9,0.0,તંદુરસ્ત
approve,0.9,0.0,મંજૂર
truthfulness,0.9,0.0,સત્યવાદ
handily,0.9,0.0,હાથથી
staunchly,0.9,0.0,કડક
prominence,0.9,0.0,પ્રાધાન્ય
merciful,0.9,0.0,દયાળુ
stirringly,0.9,0.0,હલાવીને
outdone,0.9,0.0,આઉટડોન
overtake,0.9,0.0,આગળ નીકળી જવું
unbeatable,0.9,0.0,અજેય
sufficient,0.9,0.0,પુરતું
ardently,0.9,0.0,ઉત્સાહથી
classic,0.9,0.0,ઉત્તમ
civility,0.9,0.0,નાગરિકતા
ingenuity,0.9,0.0,ચાતુર્ય
masterpiece,0.9,0.0,માસ્ટરપીસ
fidelity,0.9,0.0,વફાદારી
reliable,0.9,0.0,વિશ્વસનીય
charisma,0.9,0.0,કરિશ્મા
readable,0.9,0.0,વાંચી શકાય તેવું
compatible,0.9,0.0,સુસંગત
fulfillment,0.9,0.0,પરિપૂર્ણતા
skillfully,0.9,0.0,કુશળતાથી
tingle,0.9,0.0,કળતર
excel,0.9,0.0,એક્સેલ
enviously,0.9,0.0,ઈર્ષ્યાથી
swanky,0.9,0.0,swanky
celebration,0.9,0.0,ઉજવણી
progress,0.9,0.0,પ્રગતિ
empowerment,0.9,0.0,સશક્તિકરણ
tranquility,0.9,0.0,સુલેહ - શાંતિ
led,0.9,0.0,એલ.ઈ. ડી
achievible,0.9,0.0,પ્રાપ્ય
bright,0.9,0.0,તેજસ્વી
appreciatively,0.9,0.0,કદરકારક રીતે
inspirational,0.9,0.0,પ્રેરણાત્મક
accessible,0.9,0.0,સુલભ
lionhearted,0.9,0.0,સિંહણવાળું
refreshing,0.9,0.0,પ્રેરણાદાયક
splendidly,0.9,0.0,ભવ્ય રીતે
marvelous,0.9,0.0,શાનદાર
illustrious,0.9,0.0,પ્રખ્યાત
revives,0.9,0.0,ફરી
originality,0.9,0.0,મૌલિકતા
gratification,0.9,0.0,પ્રસન્નતા
motivated,0.9,0.0,પ્રેરિત
playfully,0.9,0.0,રમતથી
awe,0.9,0.0,ધાક
overtakes,0.9,0.0,આગળ નીકળી
eloquent,0.9,0.0,છટાદાર
proficient,0.9,0.0,નિપુણ
cheapest,0.9,0.0,સસ્તી
intelligible,0.9,0.0,બુદ્ધિગમ્ય
luxuriant,0.9,0.0,વૈભવી
adaptable,0.9,0.0,સ્વીકાર્ય
enraptured,0.9,0.0,enraptured
luckiest,0.9,0.0,નસીબદાર
healthy,0.9,0.0,તંદુરસ્ત
luster,0.9,0.0,ચમક
brotherly,0.9,0.0,ભાઈચારો
compliment,0.9,0.0,ખુશામત
leading,0.9,0.0,અગ્રણી
fortunately,0.9,0.0,સદભાગ્યે
resplendent,0.9,0.0,તેજસ્વી
obtainable,0.9,0.0,પ્રાપ્ય
inventive,0.9,0.0,સંશોધનાત્મક
ardor,0.9,0.0,બર્નિંગ
propitiously,0.9,0.0,પ્રોત્સાહક રીતે
