Term,PosScore,NegScore,hindi
direct,0.75,0.0,प्रत्यक्ष
adoptable,0.75,0.0,ग्रहणीय
due,0.75,0.0,देय
ravishing,0.75,0.0,सुंदर
benefic,0.75,0.0,फायदेमंद
unsurpassable,1.0,0.0,unsurpassable
thorough,0.75,0.0,संपूर्ण
cautious,0.75,0.0,सतर्क
competent,0.75,0.0,सक्षम
workmanlike,0.75,0.0,कारीगर जैसे
competent,0.75,0.0,सक्षम
full-blown,0.75,0.0,प्रफुल्ल
conspicuous,0.75,0.0,विशिष्ट
differentiable,0.75,0.0,विभेदक
constant,0.75,0.125,स्थिर
incorrupt,0.75,0.25,ईमानदार
corn-fed,0.75,0.0,मक्का खिलाया
decorous,0.75,0.0,शिष्ट
definite,0.75,0.0,निश्चित
importunate,0.75,0.125,हठी
plummy,0.75,0.0,किशमिश से भरा हुआ
discerning,0.875,0.0,विवेकी
incisive,0.75,0.0,काटा हुआ
metal-cutting,0.75,0.0,धातु को काटना
bounden,0.875,0.0,परम
disenchanted,0.875,0.0,मोहभंग
exportable,0.75,0.0,निर्यात
enlightened,0.75,0.0,प्रबुद्ध
estimable,1.0,0.0,आदर लायक़
exchangeable,0.75,0.0,बदलानेवाला
expendable,0.75,0.0,उपभोजित
extricable,0.75,0.0,extricable
fit,0.75,0.0,फिट
pleasant-smelling,0.75,0.0,सुखद महक
goodish,0.75,0.0,goodish
goody-goody,0.875,0.0,पाखंडी
white,0.75,0.0,सफेद
good-natured,0.75,0.0,नेकदिल
gainly,0.875,0.0,Gainly
bouncing,0.75,0.0,उछाल वाली
firm,0.875,0.0,दृढ़
hearty,0.75,0.0,हार्दिक
well-preserved,0.75,0.0,अच्छी तरह से संरक्षित
laureate,0.75,0.0,पुरस्कार विजेता
droll,0.75,0.0,हंसी उड़ाना
measurable,0.75,0.0,औसत दर्जे का
intellectual,0.875,0.0,बौद्धिक
inviting,0.75,0.0,आमंत्रित
gladsome,0.75,0.0,ख़ुश
singable,0.75,0.0,singable
moralistic,0.75,0.125,नैतिक
incorrupt,0.75,0.25,ईमानदार
licit,0.75,0.0,बोली
incumbent,0.875,0.0,निर्भर
unimpassioned,0.75,0.0,unimpassioned
finished,0.75,0.0,ख़त्म होना
microscopic,0.75,0.0,सूक्ष्म
halal,0.75,0.0,वैध
kosher,0.75,0.0,कोषेर
disarming,0.75,0.125,निरस्त्रीकरण
white,0.75,0.125,सफेद
ladylike,0.75,0.0,स्रीवत
unprintable,0.75,0.25,गंदा
diffident,0.875,0.0,संकोची
answerable,0.875,0.0,जवाबदेह
emancipative,0.75,0.125,emancipative
danceable,0.75,0.0,danceable
opposite,0.75,0.125,सामने
antiseptic,0.75,0.25,सड़न रोकनेवाली दबा
shapely,0.75,0.0,सुडौल
well-proportioned,0.75,0.0,अच्छी तरह से सानुपातिक
sound,0.75,0.0,ध्वनि
straightarrow,0.875,0.125,सीधा तीर
upper,0.75,0.0,ऊपरी
banner,0.875,0.0,बैनर
gilt-edged,0.75,0.0,पहली श्रेणी का
premium,0.75,0.0,प्रीमियम
shining,0.75,0.0,चमकदार
spiffing,0.875,0.0,spiffing
choice,0.75,0.125,पसंद
serviceable,0.75,0.0,फ़ायदेमंद
sacred,0.75,0.0,धार्मिक
constitutional,0.75,0.0,संवैधानिक
deliverable,0.75,0.0,प्रदेय
ducal,0.75,0.0,Ducal
masterstroke,0.75,0.0,मास्टरस्ट्रोक
pleasantry,0.75,0.0,हँसी
indignity,0.75,0.0,रोष
props,0.875,0.0,रंगमंच की सामग्री
titillation,0.75,0.0,गुदगुदाना
beatification,0.75,0.0,परम सुख
rambouillet,0.75,0.0,Rambouillet
character,0.875,0.0,चरित्र
drama,0.75,0.0,नाटक
chirpiness,0.75,0.0,chirpiness
vivacity,0.75,0.25,चुस्ती
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,bluffness
picturesqueness,0.875,0.0,सरसता
pleasingness,0.75,0.0,pleasingness
attractiveness,0.75,0.0,आकर्षण
innateness,0.75,0.25,innateness
totality,0.75,0.0,समग्रता
looseness,0.75,0.25,ढील
wholesomeness,0.875,0.0,स्वास्थ्य-प्रदाता
healthfulness,0.875,0.0,healthfulness
trueness,0.75,0.0,सच्चाई
tastefulness,0.875,0.0,tastefulness
urbanity,0.875,0.0,शिष्टता
conscientiousness,0.75,0.0,कर्त्तव्य निष्ठां
safeness,0.75,0.25,निश्चिंतता
scrupulousness,0.75,0.0,परिशुद्धता
integrity,0.875,0.125,अखंडता
probity,0.75,0.0,ईमानदारी
artfulness,0.75,0.0,चलाकी
dedication,0.875,0.0,निष्ठा
urbanity,0.875,0.0,शिष्टता
crispness,0.875,0.0,करारापन
extremeness,0.75,0.25,ज़्यादती
reasonableness,0.75,0.0,तर्कसंगतता
affirmativeness,0.75,0.0,affirmativeness
importance,0.75,0.125,महत्त्व
account,0.875,0.125,लेखा
meaningfulness,0.75,0.125,सार्थकता
shrillness,0.75,0.25,कर्कशता
eye,0.75,0.0,आंख
logic,0.75,0.0,तर्क
judiciousness,0.875,0.0,judiciousness
ear,0.75,0.0,कान
balletomania,0.75,0.0,balletomania
mastering,0.75,0.0,मास्टरिंग
principle,0.75,0.0,सिद्धांत
hedonism,0.75,0.0,हेडोनिजम
courtesy,0.75,0.0,के सौजन्य से
topper,0.75,0.0,टोपर
divination,0.875,0.0,अटकल
moralism,0.75,0.125,नीतिज्ञता
bonheur,0.875,0.0,ख़ुशी
beneficence,0.75,0.0,उपकार
criollo,0.75,0.0,क्रियोल
amoralist,0.75,0.0,amoralist
brick,0.75,0.0,ईंट
first-rater,1.0,0.0,पहली दर निर्धारित करने वाला
out-and-outer,0.75,0.0,एकाकी
pleaser,0.75,0.0,pleaser
possible,0.75,0.0,मुमकिन
serendipity,0.75,0.125,नसीब
antithesis,0.75,0.0,विलोम
contrary,0.75,0.0,विरोध
algidity,0.75,0.25,algidity
pathology,0.75,0.125,विकृति विज्ञान
character,0.875,0.0,चरित्र
fettle,0.75,0.0,अवस्था
time,0.75,0.0,समय
simply,0.75,0.0,केवल
downright,0.75,0.0,सर्वथा
recuperate,0.75,0.0,स्वस्थ हो जाना
redound,0.75,0.0,सहायता देना
enervate,0.75,0.0,कमज़ोर
delouse,0.75,0.0,delouse
think,0.75,0.0,सोच
receive,0.75,0.0,प्राप्त करना
consider,0.75,0.0,विचार करें
give,0.75,0.125,देना
filigree,0.875,0.0,चांदी के महीन
stultify,0.75,0.125,मूर्ख बनाना
see,0.75,0.0,देख
vest,0.875,0.0,बनियान
agree,0.875,0.0,इस बात से सहमत
suit,0.875,0.0,सूट
belong,0.75,0.0,संबंधित
make,0.875,0.0,बनाना
sensation,0.9,0.0,सनसनी
thriving,0.9,0.0,संपन्न
marvels,0.9,0.0,चमत्कार
vibrant,0.9,0.0,जीवंत
fragrant,0.9,0.0,सुगंधित
enthusiast,0.9,0.0,सरगर्म
successfully,0.9,0.0,सफलतापूर्वक
gifted,0.9,0.0,प्रतिभाशाली
unequivocal,0.9,0.0,स्पष्ट
readily,0.9,0.0,आसानी से
solicitously,0.9,0.0,उत्सुकतापूर्वक
enchantingly,0.9,0.0,मोहित करते हुए
gold,0.9,0.0,सोना
comforting,0.9,0.0,आराम देते
portable,0.9,0.0,पोर्टेबल
sensations,0.9,0.0,उत्तेजना
truthful,0.9,0.0,ईमानदार
notably,0.9,0.0,विशेष रूप से
bonny,0.9,0.0,स्वास्थ
adulate,0.9,0.0,झूठी प्रशंसा करना
jolly,0.9,0.0,विनोदी
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,आकांक्षा
venerate,0.9,0.0,सम्मानित करना
liking,0.9,0.0,पसंद
sweeping,0.9,0.0,झाड़ू मारना
flexible,0.9,0.0,लचीला
liberty,0.9,0.0,स्वतंत्रता
refresh,0.9,0.0,ताज़ा करना
vivacious,0.9,0.0,गरमागरम
gem,0.9,0.0,मणि
impress,0.9,0.0,Impress
trumpet,0.9,0.0,तुरही
entrust,0.9,0.0,सौंपना
catchy,0.9,0.0,आकर्षक
talents,0.9,0.0,प्रतिभा
retractable,0.9,0.0,त्याग देने योग्य
passionate,0.9,0.0,उत्साही के
triumph,0.9,0.0,विजय
afordable,0.9,0.0,Afordable
congratulations,0.9,0.0,बधाई हो
bargain,0.9,0.0,मोल तोल
glad,0.9,0.0,प्रसन्न
rejuvenated,0.9,0.0,फिर से जवान
top,0.9,0.0,ऊपर
gladden,0.9,0.0,प्रसन्न करना
energize,0.9,0.0,Energize
humane,0.9,0.0,दयालु
swank,0.9,0.0,डींग
insightfully,0.9,0.0,insightfully
courageousness,0.9,0.0,साहस
fancinating,0.9,0.0,fancinating
maturity,0.9,0.0,परिपक्वता
energy-efficient,0.9,0.0,ऊर्जा से भरपूर
calm,0.9,0.0,शांत
desirable,0.9,0.0,वांछित
poeticize,0.9,0.0,कविता का रूप देना
easiest,0.9,0.0,सबसे आसान
low-price,0.9,0.0,कम कीमत
striving,0.9,0.0,प्रयास
advantage,0.9,0.0,फायदा
cheerful,0.9,0.0,हंसमुख
ample,0.9,0.0,प्रचुर
steady,0.9,0.0,नियमित
effortless,0.9,0.0,सरल
innovation,0.9,0.0,नवोन्मेष
fine-looking,0.9,0.0,ठीक दिखने
wonders,0.9,0.0,चमत्कार
cashback,0.9,0.0,नकदी वापस
quicker,0.9,0.0,तेज
gleeful,0.9,0.0,ज़िंदादिल
expertly,0.9,0.0,expertly
divine,0.9,0.0,दिव्य
miraculously,0.9,0.0,चमत्कारिक ढंग से
daring,0.9,0.0,साहसी
pepped,0.9,0.0,pepped
cooperatively,0.9,0.0,सहयोगात्मक
gainful,0.9,0.0,लाभदायक
rewarding,0.9,0.0,पुरस्कृत
magnificently,0.9,0.0,भव्यता से
captivate,0.9,0.0,Captivate
exceeding,0.9,0.0,से अधिक
ready,0.9,0.0,तैयार
invaluablely,0.9,0.0,invaluablely
modesty,0.9,0.0,शील
innovative,0.9,0.0,अभिनव
rapturous,0.9,0.0,मनमौजी
soulful,0.9,0.0,भावपूर्ण
hard-working,0.9,0.0,मेहनती
understandable,0.9,0.0,बोधगम्य
resourcefulness,0.9,0.0,उपाय कुशलता
illumine,0.9,0.0,प्रकाशित
trusty,0.9,0.0,भरोसेमंद
patriot,0.9,0.0,देश-भक्त
amply,0.9,0.0,जिसकी पर्याप्त
appreciate,0.9,0.0,सराहना
large-capacity,0.9,0.0,बड़ी क्षमता
ardent,0.9,0.0,उत्साही
inspiration,0.9,0.0,प्रेरणा स्त्रोत
topnotch,0.9,0.0,शीर्ष के
fluent,0.9,0.0,धाराप्रवाह
well-balanced,0.9,0.0,अच्छी तरह से संतुलित
clear-cut,0.9,0.0,स्पष्ट
lovely,0.9,0.0,सुंदर
frugal,0.9,0.0,मितव्ययी
affirm,0.9,0.0,वाणी
idealize,0.9,0.0,आदर्श बनाना
great,0.9,0.0,महान
profoundly,0.9,0.0,गंभीरतापूर्वक
gumption,0.9,0.0,तर्कशीलता
elation,0.9,0.0,उत्साह
stability,0.9,0.0,स्थिरता
spellbound,0.9,0.0,मंत्रमुग्ध
obsessions,0.9,0.0,आग्रह
applaud,0.9,0.0,सराहना
willing,0.9,0.0,तैयार
well-bred,0.9,0.0,तमीज़दार
cleanly,0.9,0.0,सफाई से
graciousness,0.9,0.0,कृपा
constructive,0.9,0.0,रचनात्मक
pampers,0.9,0.0,pampers
hotcakes,0.9,0.0,हॉट केक
realistic,0.9,0.0,वास्तविक
nicely,0.9,0.0,अच्छी तरह से
unbiased,0.9,0.0,निष्पक्ष
virtuously,0.9,0.0,नेकी
free,0.9,0.0,नि: शुल्क
fairly,0.9,0.0,काफी
cushy,0.9,0.0,cushy
grand,0.9,0.0,लंबा
admirer,0.9,0.0,Admire
peaceable,0.9,0.0,शांतिप्रिय
laud,0.9,0.0,तालिका
renewed,0.9,0.0,नए सिरे से
inspire,0.9,0.0,को प्रेरित
buoyant,0.9,0.0,प्रसन्नचित्त
humility,0.9,0.0,विनम्रता
stabilize,0.9,0.0,स्थिर
hopeful,0.9,0.0,आशावान
staunchness,0.9,0.0,staunchness
tenderly,0.9,0.0,नम्रता से
amiabily,0.9,0.0,amiabily
liberation,0.9,0.0,मुक्ति
loveliness,0.9,0.0,सुंदरता
stunned,0.9,0.0,दंग रह
seamless,0.9,0.0,निर्बाध
supremely,0.9,0.0,सर्वोच्च
capable,0.9,0.0,सक्षम
firmer,0.9,0.0,मजबूत
overture,0.9,0.0,प्रस्ताव
chivalrous,0.9,0.0,उदार
ingeniously,0.9,0.0,प्रवीणा
freedom,0.9,0.0,आजादी
well-positioned,0.9,0.0,अच्छे पद पर
balanced,0.9,0.0,संतुलित
refunded,0.9,0.0,वापस कर दी
triumphal,0.9,0.0,विजयी
angelic,0.9,0.0,दिव्य
matchless,0.9,0.0,अतुलनीय
tenacious,0.9,0.0,दृढ़
successful,0.9,0.0,सफल
powerfully,0.9,0.0,शक्ति से
uplifting,0.9,0.0,उत्थान
dynamic,0.9,0.0,गतिशील
thankful,0.9,0.0,कृतज्ञ
cuteness,0.9,0.0,मासूमियत
champ,0.9,0.0,मैदान
intriguingly,0.9,0.0,दिलचस्प
sufficiently,0.9,0.0,पर्याप्त रूप से
pepping,0.9,0.0,pepping
god-send,0.9,0.0,भगवान भेजने
mature,0.9,0.0,प्रौढ़
top-quality,0.9,0.0,उत्तम गुणवत्ता
efficient,0.9,0.0,कुशल
easy-to-use,0.9,0.0,प्रयोग करने में आसान
peppy,0.9,0.0,क्रियात्मक
idol,0.9,0.0,प्रतिमा
elegantly,0.9,0.0,सुंदर ढंग से
glorious,0.9,0.0,यशस्वी
insightful,0.9,0.0,व्यावहारिक
economical,0.9,0.0,किफ़ायती
reassurance,0.9,0.0,आश्वासन
premier,0.9,0.0,प्रथम
redeem,0.9,0.0,के एवज
pain-free,0.9,0.0,दर्द से मुक्त
supporter,0.9,0.0,समर्थक
rejoicingly,0.9,0.0,सुख से
dawn,0.9,0.0,भोर
gutsy,0.9,0.0,साहसी
terrifically,0.9,0.0,दहलाने वाला
imaculate,0.9,0.0,imaculate
appreciated,0.9,0.0,की सराहना की
strongest,0.9,0.0,सबसे मजबूत
accomplish,0.9,0.0,पूरा
stimulate,0.9,0.0,प्रोत्साहित करना
distinguished,0.9,0.0,प्रतिष्ठित
joy,0.9,0.0,हर्ष
enjoyed,0.9,0.0,मज़ा आया
elate,0.9,0.0,Elate
benefit,0.9,0.0,फायदा
openness,0.9,0.0,खुलापन
achievement,0.9,0.0,उपलब्धि
honorable,0.9,0.0,माननीय
salute,0.9,0.0,स्वास्थ्य
genuine,0.9,0.0,वास्तविक
unbound,0.9,0.0,अबाध
convienient,0.9,0.0,convienient
enlighten,0.9,0.0,सूचित करना
dumbfounding,0.9,0.0,dumbfounding
unabashed,0.9,0.0,अचल
rapturously,0.9,0.0,हर्षातिरेक
steadiness,0.9,0.0,स्थिरता
sensationally,0.9,0.0,जोश में
clearer,0.9,0.0,साफ
selective,0.9,0.0,चयनात्मक
affirmative,0.9,0.0,सकारात्मक
dirt-cheap,0.9,0.0,गंदगी सस्ता
trust,0.9,0.0,विश्वास
enthusiasm,0.9,0.0,उत्साह
undaunted,0.9,0.0,निडर
courageously,0.9,0.0,साहस के साथ
useful,0.9,0.0,उपयोगी
adequate,0.9,0.0,पर्याप्त
jubilation,0.9,0.0,आनंदोत्सव
admirably,0.9,0.0,सराहनीय
phenomenally,0.9,0.0,अलग हटकर
decisiveness,0.9,0.0,निश्चितता
cozy,0.9,0.0,आरामदायक
compassion,0.9,0.0,दया
handier,0.9,0.0,handier
clears,0.9,0.0,साफ करता है
convincingly,0.9,0.0,आसानी से
preferring,0.9,0.0,पसंद करते हैं
sagely,0.9,0.0,संत जैसी
viewable,0.9,0.0,देखने योग्य
awesome,0.9,0.0,बहुत बढ़िया
abounds,0.9,0.0,abounds
keenness,0.9,0.0,इच्छा
awards,0.9,0.0,पुरस्कार
supportive,0.9,0.0,सहायक
fine,0.9,0.0,ठीक
pamperedness,0.9,0.0,pamperedness
unrivaled,0.9,0.0,बेजोड़
best-selling,0.9,0.0,सर्वश्रेष्ठ बिक्री
hearten,0.9,0.0,प्रशंसा करना
sturdier,0.9,0.0,मजबूत होती
advantages,0.9,0.0,फायदे
panoramic,0.9,0.0,मनोरम
enhanced,0.9,0.0,बढ़ाया
eulogize,0.9,0.0,स्तुति करना
lighter,0.9,0.0,लाइटर
won,0.9,0.0,जीत लिया
comprehensive,0.9,0.0,व्यापक
revival,0.9,0.0,पुनः प्रवर्तन
skilled,0.9,0.0,कुशल
enticing,0.9,0.0,मोहक
tenacity,0.9,0.0,तप
supporting,0.9,0.0,सहायक
greatest,0.9,0.0,महानतम
fabulously,0.9,0.0,fabulously
altruistic,0.9,0.0,परोपकारी
enticingly,0.9,0.0,enticingly
silent,0.9,0.0,मूक
pleasant,0.9,0.0,सुहानी
fondness,0.9,0.0,अनुराग
upgradeable,0.9,0.0,पदोन्नत किया जा सकता
phenomenal,0.9,0.0,अभूतपूर्व
fans,0.9,0.0,प्रशंसकों
state-of-the-art,0.9,0.0,अत्याधुनिक
noble,0.9,0.0,महान
fast-growing,0.9,0.0,तेजी से बढ़ते
serene,0.9,0.0,निर्मल
handsomely,0.9,0.0,खूबसूरत
nourish,0.9,0.0,लालन-पालन करना
usable,0.9,0.0,प्रयोग करने योग्य
spotless,0.9,0.0,स्वच्छ
bless,0.9,0.0,आशीर्वाद देना
exemplar,0.9,0.0,उदाहरणात्मक
poignant,0.9,0.0,मार्मिक
ambitious,0.9,0.0,महत्त्वाकांक्षी
worked,0.9,0.0,काम
proud,0.9,0.0,गर्व
enrich,0.9,0.0,समृद्ध
kindness,0.9,0.0,दयालुता
warmth,0.9,0.0,गर्मजोशी
excitement,0.9,0.0,उत्साह
sweetly,0.9,0.0,मधुरता से
blithe,0.9,0.0,ज़िंदादिल
contribution,0.9,0.0,योगदान
rejuvenating,0.9,0.0,कायाकल्प
intimacy,0.9,0.0,आत्मीयता
effectively,0.9,0.0,प्रभावी रूप से
wholesome,0.9,0.0,पौष्टिक
approve,0.9,0.0,मंजूर
truthfulness,0.9,0.0,सत्यवादिता
handily,0.9,0.0,handily
staunchly,0.9,0.0,staunchly
prominence,0.9,0.0,शोहरत
merciful,0.9,0.0,कृपालु
stirringly,0.9,0.0,stirringly
outdone,0.9,0.0,भी मात
overtake,0.9,0.0,आगे निकल
unbeatable,0.9,0.0,अपराजेय
sufficient,0.9,0.0,पर्याप्त
ardently,0.9,0.0,जोशीला रूप से
classic,0.9,0.0,क्लासिक
civility,0.9,0.0,शिष्टाचार
ingenuity,0.9,0.0,सरलता
masterpiece,0.9,0.0,मास्टरपीस
fidelity,0.9,0.0,सत्य के प्रति निष्ठा
reliable,0.9,0.0,विश्वसनीय
charisma,0.9,0.0,प्रतिभा
readable,0.9,0.0,पठनीय
compatible,0.9,0.0,संगत
fulfillment,0.9,0.0,पूर्ति
skillfully,0.9,0.0,कुशलता
tingle,0.9,0.0,झुनझुनी
excel,0.9,0.0,एक्सेल
enviously,0.9,0.0,ईर्ष्या
swanky,0.9,0.0,ठाठ का
celebration,0.9,0.0,उत्सव
progress,0.9,0.0,प्रगति
empowerment,0.9,0.0,सशक्तिकरण
tranquility,0.9,0.0,शांति
led,0.9,0.0,एलईडी
achievible,0.9,0.0,achievible
bright,0.9,0.0,उज्ज्वल
appreciatively,0.9,0.0,आदरपूर्वक
inspirational,0.9,0.0,प्रेरणादायक
accessible,0.9,0.0,सुलभ
lionhearted,0.9,0.0,Lionhearted
refreshing,0.9,0.0,ताज़ा
splendidly,0.9,0.0,शान से
marvelous,0.9,0.0,अनोखा
illustrious,0.9,0.0,शानदार
revives,0.9,0.0,जान
originality,0.9,0.0,मोलिकता
gratification,0.9,0.0,संतुष्टि
motivated,0.9,0.0,प्रेरित
playfully,0.9,0.0,खेल-खेल में
awe,0.9,0.0,भय
overtakes,0.9,0.0,overtakes
eloquent,0.9,0.0,सुवक्ता
proficient,0.9,0.0,प्रवीण
cheapest,0.9,0.0,सबसे सस्ता
intelligible,0.9,0.0,सुगम
luxuriant,0.9,0.0,विलासी
adaptable,0.9,0.0,अनुकूलनीय
enraptured,0.9,0.0,enraptured
luckiest,0.9,0.0,सबसे भाग्यशाली
healthy,0.9,0.0,स्वस्थ
luster,0.9,0.0,चमक
brotherly,0.9,0.0,भाई
compliment,0.9,0.0,प्रशंसा
leading,0.9,0.0,प्रमुख
fortunately,0.9,0.0,भाग्यवश
resplendent,0.9,0.0,देदीप्यमान
obtainable,0.9,0.0,प्राप्य
inventive,0.9,0.0,आविष्कारशील
ardor,0.9,0.0,जलता हुआ
propitiously,0.9,0.0,propitiously
cost-effective,0.9,0.0,प्रभावी लागत
