Term,PosScore,NegScore,Oriya
direct,0.75,0.0,ସିଧାସଳଖ |
adoptable,0.75,0.0,ଗ୍ରହଣଯୋଗ୍ୟ
due,0.75,0.0,ଦେୟ
ravishing,0.75,0.0,କ୍ଷତିକାରକ |
benefic,0.75,0.0,ଲାଭଦାୟକ |
unsurpassable,1.0,0.0,ଅବିସ୍ମରଣୀୟ |
thorough,0.75,0.0,ପୁଙ୍ଖାନୁପୁଙ୍ଖ
cautious,0.75,0.0,ସତର୍କ
competent,0.75,0.0,ଦକ୍ଷ
workmanlike,0.75,0.0,କର୍ମଜୀବୀ ପରି |
competent,0.75,0.0,ଦକ୍ଷ
full-blown,0.75,0.0,ପୁରା ବିସ୍ଫୋରଣ |
conspicuous,0.75,0.0,ସ୍ପଷ୍ଟ
differentiable,0.75,0.0,ଭିନ୍ନକ୍ଷମ |
constant,0.75,0.125,ସ୍ଥିର
incorrupt,0.75,0.25,ଅକ୍ଷୟ
corn-fed,0.75,0.0,ମକା ଖୁଆଇ |
decorous,0.75,0.0,ସାଜସଜ୍ଜା |
definite,0.75,0.0,ନିଶ୍ଚିତ
importunate,0.75,0.125,ଆମଦାନି କରନ୍ତୁ |
plummy,0.75,0.0,ପ୍ଲମି
discerning,0.875,0.0,ବିଚକ୍ଷଣ
incisive,0.75,0.0,ଉତ୍ସାହଜନକ |
metal-cutting,0.75,0.0,ଧାତୁ କାଟିବା |
bounden,0.875,0.0,ବନ୍ଧା
disenchanted,0.875,0.0,ଅସନ୍ତୁଷ୍ଟ
exportable,0.75,0.0,ରପ୍ତାନିଯୋଗ୍ୟ |
enlightened,0.75,0.0,ଆଲୋକିତ
estimable,1.0,0.0,ଆନୁମାନିକ
exchangeable,0.75,0.0,ଅଦଳବଦଳ
expendable,0.75,0.0,ବ୍ୟୟ ଯୋଗ୍ୟ
extricable,0.75,0.0,ଅତିରିକ୍ତ
fit,0.75,0.0,ଫିଟ୍
pleasant-smelling,0.75,0.0,ସୁଗନ୍ଧିତ
goodish,0.75,0.0,ଶୁଭ
goody-goody,0.875,0.0,ଶୁଭ-ଶୁଭ
white,0.75,0.0,ଧଳା
good-natured,0.75,0.0,ଉତ୍ତମ ସ୍ୱଭାବ
gainly,0.875,0.0,ଲାଭ
bouncing,0.75,0.0,ବାଉନ୍ସ
firm,0.875,0.0,ଦୃ firm
hearty,0.75,0.0,ହୃଦୟ
well-preserved,0.75,0.0,ଭଲ-ସଂରକ୍ଷିତ |
laureate,0.75,0.0,ବିଜେତା
droll,0.75,0.0,ଡ୍ରୋଲ୍
measurable,0.75,0.0,ମାପଯୋଗ୍ୟ
intellectual,0.875,0.0,ବ intellectual ଦ୍ଧିକ
inviting,0.75,0.0,ଆମନ୍ତ୍ରଣ
gladsome,0.75,0.0,ଆନନ୍ଦଦାୟକ |
singable,0.75,0.0,ଗୀତ
moralistic,0.75,0.125,ନ moral ତିକବାଦୀ |
incorrupt,0.75,0.25,ଅକ୍ଷୟ
licit,0.75,0.0,ବିଡ୍
incumbent,0.875,0.0,ଅବସରପ୍ରାପ୍ତ
unimpassioned,0.75,0.0,ଅବିଭକ୍ତ
finished,0.75,0.0,ସମାପ୍ତ
microscopic,0.75,0.0,ମାଇକ୍ରୋସ୍କୋପିକ୍ |
halal,0.75,0.0,ଆଇନଗତ
kosher,0.75,0.0,କୋଶର
disarming,0.75,0.125,ନିରସ୍ତ୍ରୀକରଣ |
white,0.75,0.125,ଧଳା
ladylike,0.75,0.0,ladylike
unprintable,0.75,0.25,ମୁଦ୍ରଣଯୋଗ୍ୟ
diffident,0.875,0.0,ଭିନ୍ନ
answerable,0.875,0.0,ଉତ୍ତରଦାୟୀ |
emancipative,0.75,0.125,ମୁକ୍ତି
danceable,0.75,0.0,ନୃତ୍ୟଯୋଗ୍ୟ
opposite,0.75,0.125,ବିପରୀତ
antiseptic,0.75,0.25,ଆଣ୍ଟିସେପ୍ଟିକ୍ |
shapely,0.75,0.0,ଆକୃତିର |
well-proportioned,0.75,0.0,ଭଲ ଅନୁପାତିତ |
sound,0.75,0.0,ଶବ୍ଦ
straightarrow,0.875,0.125,ସିଧା
upper,0.75,0.0,ଉପର
banner,0.875,0.0,ବ୍ୟାନର
gilt-edged,0.75,0.0,gilt-edged
premium,0.75,0.0,ପ୍ରିମିୟମ୍
shining,0.75,0.0,ଉଜ୍ଜ୍ୱଳ
spiffing,0.875,0.0,ସ୍ପିଫିଙ୍ଗ୍ |
choice,0.75,0.125,ପସନ୍ଦ
serviceable,0.75,0.0,ସେବା ଯୋଗ୍ୟ
sacred,0.75,0.0,ପବିତ୍ର
constitutional,0.75,0.0,ସାମ୍ବିଧାନିକ
deliverable,0.75,0.0,ବିତରଣଯୋଗ୍ୟ
ducal,0.75,0.0,ଡୁକାଲ୍ |
masterstroke,0.75,0.0,ମାଷ୍ଟରଷ୍ଟ୍ରୋକ |
pleasantry,0.75,0.0,ପ୍ରସନ୍ନ
indignity,0.75,0.0,କ୍ରୋଧ
props,0.875,0.0,ପ୍ରପ୍ସ |
titillation,0.75,0.0,ଆଖ୍ୟା
beatification,0.75,0.0,ପ୍ରହାର
rambouillet,0.75,0.0,rambouillet
character,0.875,0.0,ବର୍ଣ୍ଣ
drama,0.75,0.0,ନାଟକ
chirpiness,0.75,0.0,ଚିତ୍କାର
vivacity,0.75,0.25,ଜୀବନ୍ତତା |
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,ଅସ୍ପଷ୍ଟତା |
picturesqueness,0.875,0.0,ଚିତ୍ର
pleasingness,0.75,0.0,ପ୍ରସନ୍ନତା
attractiveness,0.75,0.0,ଆକର୍ଷଣୀୟତା |
innateness,0.75,0.25,ଅନ୍ତର୍ନିହିତତା |
totality,0.75,0.0,ସମୁଦାୟ
looseness,0.75,0.25,ମୁକ୍ତ
wholesomeness,0.875,0.0,ସୁସ୍ଥତା
healthfulness,0.875,0.0,ସ୍ୱାସ୍ଥ୍ୟ
trueness,0.75,0.0,ସତ୍ୟତା
tastefulness,0.875,0.0,ସ୍ୱାଦ
urbanity,0.875,0.0,ସହରୀତା
conscientiousness,0.75,0.0,ବିବେକ
safeness,0.75,0.25,ନିରାପତ୍ତା
scrupulousness,0.75,0.0,ନିଷ୍ଠୁରତା |
integrity,0.875,0.125,ଅଖଣ୍ଡତା
probity,0.75,0.0,ସମ୍ଭାବ୍ୟତା
artfulness,0.75,0.0,କଳାକ .ଶଳ |
dedication,0.875,0.0,ସମର୍ପଣ
urbanity,0.875,0.0,ସହରୀତା
crispness,0.875,0.0,କୁସୁମତା
extremeness,0.75,0.25,ଅତ୍ୟଧିକତା
reasonableness,0.75,0.0,ଯୁକ୍ତିଯୁକ୍ତତା |
affirmativeness,0.75,0.0,ନିଶ୍ଚିତତା
importance,0.75,0.125,ଗୁରୁତ୍ୱ
account,0.875,0.125,ଖାତା
meaningfulness,0.75,0.125,ଅର୍ଥପୂର୍ଣ୍ଣତା |
shrillness,0.75,0.25,ସଂକୀର୍ଣ୍ଣତା |
eye,0.75,0.0,ଆଖି
logic,0.75,0.0,ତର୍କ
judiciousness,0.875,0.0,ନ୍ୟାୟ
ear,0.75,0.0,କାନ
balletomania,0.75,0.0,ବାଲେଟୋମାନିଆ |
mastering,0.75,0.0,ମାଷ୍ଟର
principle,0.75,0.0,ନୀତି
hedonism,0.75,0.0,ହେଡୋନିଜିମ୍ |
courtesy,0.75,0.0,ସ es ଜନ୍ୟ
topper,0.75,0.0,ଟପ୍ପର |
divination,0.875,0.0,ବିଭାଜନ
moralism,0.75,0.125,ନ moral ତିକତା
bonheur,0.875,0.0,ଖୁସି
beneficence,0.75,0.0,ଉପକାର
criollo,0.75,0.0,କ୍ରେଓଲ୍
amoralist,0.75,0.0,ଆମୋଦବାଦୀ |
brick,0.75,0.0,ଇଟା
first-rater,1.0,0.0,ପ୍ରଥମ-ରେଟର
out-and-outer,0.75,0.0,ବାହ୍ୟ ଏବଂ ବାହ୍ୟ
pleaser,0.75,0.0,ପ୍ରସନ୍ନ
possible,0.75,0.0,ସମ୍ଭବ
serendipity,0.75,0.125,serendipity
antithesis,0.75,0.0,ଆଣ୍ଟିଥେସିସ୍ |
contrary,0.75,0.0,ବିପରୀତରେ |
algidity,0.75,0.25,ଆଲଗିଡିଟି
pathology,0.75,0.125,ପାଥୋଲୋଜି |
character,0.875,0.0,ବର୍ଣ୍ଣ
fettle,0.75,0.0,fettle
time,0.75,0.0,ସମୟ
simply,0.75,0.0,ସରଳ ଭାବରେ |
downright,0.75,0.0,ସିଧା
recuperate,0.75,0.0,ସୁସ୍ଥ କରନ୍ତୁ |
redound,0.75,0.0,ରେଡାଉଣ୍ଡ୍ |
enervate,0.75,0.0,ସଂରକ୍ଷଣ କରନ୍ତୁ |
delouse,0.75,0.0,ଭ୍ରାନ୍ତ
think,0.75,0.0,ଭାବ |
receive,0.75,0.0,ଗ୍ରହଣ କରନ୍ତୁ |
consider,0.75,0.0,ଧ୍ୟାନ ଦିଅ |
give,0.75,0.125,ଦିଅ
filigree,0.875,0.0,filigree
stultify,0.75,0.125,stultify
see,0.75,0.0,ଦେଖନ୍ତୁ |
vest,0.875,0.0,ପୋଷାକ
agree,0.875,0.0,ସହମତ |
suit,0.875,0.0,ସୁଟ୍
belong,0.75,0.0,ସମ୍ପୃକ୍ତ
make,0.875,0.0,ତିଆରି କର |
sensation,0.9,0.0,ସମ୍ବେଦନଶୀଳତା |
thriving,0.9,0.0,ଉନ୍ନତି
marvels,0.9,0.0,ଆଶ୍ଚର୍ଯ୍ୟ
vibrant,0.9,0.0,ଜୀବନ୍ତ
fragrant,0.9,0.0,ସୁଗନ୍ଧିତ
enthusiast,0.9,0.0,ଉତ୍ସାହୀ
successfully,0.9,0.0,ସଫଳତାର ସହିତ |
gifted,0.9,0.0,ଉପହାର
unequivocal,0.9,0.0,ଏକତରଫା |
readily,0.9,0.0,ସହଜରେ |
solicitously,0.9,0.0,ଅନୁରୋଧ
enchantingly,0.9,0.0,ଚିତ୍ତାକର୍ଷକ
gold,0.9,0.0,ସୁନା
comforting,0.9,0.0,ସାନ୍ତ୍ୱନା
portable,0.9,0.0,ପୋର୍ଟେବଲ୍ |
sensations,0.9,0.0,ସମ୍ବେଦନଶୀଳତା |
truthful,0.9,0.0,ସତ୍ୟବାଦୀ
notably,0.9,0.0,ଉଲ୍ଲେଖଯୋଗ୍ୟ
bonny,0.9,0.0,bonny
adulate,0.9,0.0,ଅନୁକରଣ
jolly,0.9,0.0,ଉପହାସ
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,ଆକାଂକ୍ଷା
venerate,0.9,0.0,ପୂଜା
liking,0.9,0.0,ପସନ୍ଦ
sweeping,0.9,0.0,ସୁଇପିଂ
flexible,0.9,0.0,ନମନୀୟ |
liberty,0.9,0.0,ସ୍ୱାଧୀନତା
refresh,0.9,0.0,ସତେଜ କରନ୍ତୁ |
vivacious,0.9,0.0,ଜୀବନ୍ତ
gem,0.9,0.0,ରତ୍ନ
impress,0.9,0.0,ଇମ୍ପ୍ରେସ୍
trumpet,0.9,0.0,ତୂରୀ
entrust,0.9,0.0,ଦାୟିତ୍ୱ
catchy,0.9,0.0,ଆକର୍ଷଣୀୟ
talents,0.9,0.0,ପ୍ରତିଭା
retractable,0.9,0.0,ପ୍ରତ୍ୟାହାରଯୋଗ୍ୟ
passionate,0.9,0.0,ଉତ୍ସାହୀ
triumph,0.9,0.0,ବିଜୟ
afordable,0.9,0.0,afordable
congratulations,0.9,0.0,ଅଭିନନ୍ଦନ
bargain,0.9,0.0,ବୁ g ାମଣା
glad,0.9,0.0,ଖୁସି
rejuvenated,0.9,0.0,ପୁନର୍ଜୀବିତ |
top,0.9,0.0,ଶୀର୍ଷ
gladden,0.9,0.0,ଖୁସି
energize,0.9,0.0,ଶକ୍ତି ଦିଅ
humane,0.9,0.0,ମାନବ
swank,0.9,0.0,swank
insightfully,0.9,0.0,ଅନ୍ତର୍ନିହିତ ଭାବରେ |
courageousness,0.9,0.0,ସାହସ
fancinating,0.9,0.0,ଫ୍ୟାନ୍ସ
maturity,0.9,0.0,ପରିପକ୍ .ତା
energy-efficient,0.9,0.0,ଶକ୍ତି-ଦକ୍ଷ
calm,0.9,0.0,ଶାନ୍ତ
desirable,0.9,0.0,ଅଭିଳାଷୀ |
poeticize,0.9,0.0,କବିତା
easiest,0.9,0.0,ସହଜ
low-price,0.9,0.0,କମ୍ ମୂଲ୍ୟ
striving,0.9,0.0,ଚେଷ୍ଟା
advantage,0.9,0.0,ସୁବିଧା
cheerful,0.9,0.0,ଖୁସି
ample,0.9,0.0,ଯଥେଷ୍ଟ
steady,0.9,0.0,ସ୍ଥିର
effortless,0.9,0.0,ଚେଷ୍ଟା
innovation,0.9,0.0,ଉଦ୍ଭାବନ |
fine-looking,0.9,0.0,ସୁନ୍ଦର ଦେଖାଯାଉଛି |
wonders,0.9,0.0,ଆଶ୍ଚର୍ଯ୍ୟ
cashback,0.9,0.0,ଟଙ୍କା ଫେରସ୍ତ
quicker,0.9,0.0,ଶୀଘ୍ର
gleeful,0.9,0.0,ଖୁସି
expertly,0.9,0.0,ବିଶେଷଜ୍ ly
divine,0.9,0.0,divine ଶ୍ୱରୀୟ |
miraculously,0.9,0.0,ଚମତ୍କାର ଭାବରେ |
daring,0.9,0.0,ସାହସ
pepped,0.9,0.0,କଦଳୀ
cooperatively,0.9,0.0,ସହଯୋଗରେ
gainful,0.9,0.0,ଲାଭଦାୟକ |
rewarding,0.9,0.0,ପୁରସ୍କାର
magnificently,0.9,0.0,ଚମତ୍କାର
captivate,0.9,0.0,ଆକର୍ଷିତ କର |
exceeding,0.9,0.0,ଅତିକ୍ରମ
ready,0.9,0.0,ପ୍ରସ୍ତୁତ
invaluablely,0.9,0.0,ଅମୂଲ୍ୟ
modesty,0.9,0.0,ନମ୍ରତା
innovative,0.9,0.0,ଅଭିନବ |
rapturous,0.9,0.0,ରାପ୍ଟୁରସ୍ |
soulful,0.9,0.0,ଆତ୍ମା
hard-working,0.9,0.0,ପରିଶ୍ରମୀ
understandable,0.9,0.0,ବୁ able ିବା ଯୋଗ୍ୟ
resourcefulness,0.9,0.0,ସମ୍ବଳ
illumine,0.9,0.0,ଆଲୋକିତ
trusty,0.9,0.0,ବିଶ୍ୱାସୀ
patriot,0.9,0.0,ଦେଶପ୍ରେମୀ
amply,0.9,0.0,ଯଥେଷ୍ଟ
appreciate,0.9,0.0,ପ୍ରଶଂସା କରନ୍ତୁ
large-capacity,0.9,0.0,ବୃହତ କ୍ଷମତା |
ardent,0.9,0.0,ଉତ୍ସାହ
inspiration,0.9,0.0,ପ୍ରେରଣା
topnotch,0.9,0.0,ଟପ୍ ନୋଟ୍ |
fluent,0.9,0.0,ସ୍ ent ଚ୍ଛ
well-balanced,0.9,0.0,ସୁ-ସନ୍ତୁଳିତ |
clear-cut,0.9,0.0,ସଫା-କଟ୍ |
lovely,0.9,0.0,ସୁନ୍ଦର
frugal,0.9,0.0,ଫଳପ୍ରଦ
affirm,0.9,0.0,ନିଶ୍ଚିତ କର
idealize,0.9,0.0,ଆଦର୍ଶ କରନ୍ତୁ |
great,0.9,0.0,ବହୁତ ଭଲ
profoundly,0.9,0.0,ଗଭୀର ଭାବରେ
gumption,0.9,0.0,ଗୁପ୍ତ
elation,0.9,0.0,ଆନନ୍ଦ
stability,0.9,0.0,ସ୍ଥିରତା
spellbound,0.9,0.0,ବନାନ
obsessions,0.9,0.0,ଅବସାନ |
applaud,0.9,0.0,କରତାଳି
willing,0.9,0.0,ଇଛୁକ
well-bred,0.9,0.0,ଭଲ ପାଳିତ
cleanly,0.9,0.0,ପରିଷ୍କାର ଭାବରେ
graciousness,0.9,0.0,ଦୟା
constructive,0.9,0.0,ଗଠନମୂଳକ
pampers,0.9,0.0,ପମ୍ପର୍ସ |
hotcakes,0.9,0.0,ହଟ୍ କେକ୍ |
realistic,0.9,0.0,ବାସ୍ତବବାଦୀ |
nicely,0.9,0.0,ସୁନ୍ଦର ଭାବରେ
unbiased,0.9,0.0,ନିରପେକ୍ଷ |
virtuously,0.9,0.0,ପ୍ରକୃତରେ
free,0.9,0.0,ମାଗଣା |
fairly,0.9,0.0,ପ୍ରାୟତଃ
cushy,0.9,0.0,କୁଶଳ
grand,0.9,0.0,ଲମ୍ବା
admirer,0.9,0.0,ପ୍ରଶଂସା କର |
peaceable,0.9,0.0,ଶାନ୍ତିପୂର୍ଣ୍ଣ
laud,0.9,0.0,ଟେବୁଲ୍ |
renewed,0.9,0.0,ନବୀକରଣ
inspire,0.9,0.0,ପ୍ରେରଣା ଦିଅ
buoyant,0.9,0.0,ବୋଇତ
humility,0.9,0.0,ନମ୍ରତା
stabilize,0.9,0.0,ସ୍ଥିର କର
hopeful,0.9,0.0,ଆଶାକର୍ମୀ
staunchness,0.9,0.0,ସ୍ଥିରତା |
tenderly,0.9,0.0,କୋମଳମତି
amiabily,0.9,0.0,amiabily
liberation,0.9,0.0,ମୁକ୍ତି
loveliness,0.9,0.0,ସୁନ୍ଦରତା
stunned,0.9,0.0,ଆଶ୍ଚର୍ଯ୍ୟ ହୋଇଗଲେ
seamless,0.9,0.0,ନିରବିହୀନ |
supremely,0.9,0.0,ସର୍ବୋପରି
capable,0.9,0.0,ସକ୍ଷମ
firmer,0.9,0.0,ଦୃ mer ଼
overture,0.9,0.0,ଓଭର୍
chivalrous,0.9,0.0,chivalrous
ingeniously,0.9,0.0,ଚତୁରତାର ସହିତ |
freedom,0.9,0.0,ସ୍ୱାଧୀନତା
well-positioned,0.9,0.0,ଭଲ ସ୍ଥିତ
balanced,0.9,0.0,ସନ୍ତୁଳିତ |
refunded,0.9,0.0,ଫେରସ୍ତ
triumphal,0.9,0.0,ଜୟ
angelic,0.9,0.0,ଦୂତ
matchless,0.9,0.0,ମେଳହୀନ |
tenacious,0.9,0.0,ଦଶହରା
successful,0.9,0.0,ସଫଳ
powerfully,0.9,0.0,ଶକ୍ତିଶାଳୀ
uplifting,0.9,0.0,ଉନ୍ନତି
dynamic,0.9,0.0,ଗତିଶୀଳ |
thankful,0.9,0.0,ଧନ୍ୟବାଦ
cuteness,0.9,0.0,ସୁନ୍ଦରତା
champ,0.9,0.0,କ୍ଷେତ୍ର
intriguingly,0.9,0.0,ଚିତ୍ତାକର୍ଷକ ଭାବରେ |
sufficiently,0.9,0.0,ଯଥେଷ୍ଟ
pepping,0.9,0.0,ପେପିଂ
god-send,0.9,0.0,ଭଗବାନ ପଠାନ୍ତୁ |
mature,0.9,0.0,ପରିପକ୍ୱ |
top-quality,0.9,0.0,ଶୀର୍ଷ-ଗୁଣବତ୍ତା |
efficient,0.9,0.0,ଦକ୍ଷ
easy-to-use,0.9,0.0,ବ୍ୟବହାର-ସହଜ |
peppy,0.9,0.0,କଦଳୀ
idol,0.9,0.0,ପ୍ରତିମା
elegantly,0.9,0.0,ସୁନ୍ଦର ଭାବରେ
glorious,0.9,0.0,ଗ ious ରବମୟ
insightful,0.9,0.0,ଅନ୍ତର୍ନିହିତ
economical,0.9,0.0,ଅର୍ଥନ ical ତିକ |
reassurance,0.9,0.0,ଆଶ୍ୱାସନା
premier,0.9,0.0,ପ୍ରଥମେ
redeem,0.9,0.0,ମୁକ୍ତ କର |
pain-free,0.9,0.0,ଯନ୍ତ୍ରଣାମୁକ୍ତ |
supporter,0.9,0.0,ସମର୍ଥକ
rejoicingly,0.9,0.0,ଆନନ୍ଦରେ
dawn,0.9,0.0,ଭୋର
gutsy,0.9,0.0,ଗୁପ୍ତ
terrifically,0.9,0.0,ଭୟଙ୍କର ଭାବରେ
imaculate,0.9,0.0,ଅନୁକରଣ
appreciated,0.9,0.0,ପ୍ରଶଂସନୀୟ
strongest,0.9,0.0,ଶକ୍ତିଶାଳୀ
accomplish,0.9,0.0,ସମ୍ପନ୍ନ କର |
stimulate,0.9,0.0,ଉତ୍ସାହିତ କର |
distinguished,0.9,0.0,ଭିନ୍ନ
joy,0.9,0.0,ଆନନ୍ଦ
enjoyed,0.9,0.0,ଉପଭୋଗ କଲେ |
elate,0.9,0.0,elate
benefit,0.9,0.0,ଲାଭ
openness,0.9,0.0,ଖୋଲାଖୋଲି
achievement,0.9,0.0,ସଫଳତା
honorable,0.9,0.0,ସମ୍ମାନଜନକ
salute,0.9,0.0,ସ୍ୱାସ୍ଥ୍ୟ
genuine,0.9,0.0,ଅସଲି
unbound,0.9,0.0,ସୀମା
convienient,0.9,0.0,ସୁବିଧାଜନକ
enlighten,0.9,0.0,ଆଲୋକିତ କର |
dumbfounding,0.9,0.0,ମୂକ
unabashed,0.9,0.0,ଅନାବଶ୍ୟକ |
rapturously,0.9,0.0,ରାପ୍ଟୁର ଭାବରେ |
steadiness,0.9,0.0,ସ୍ଥିରତା
sensationally,0.9,0.0,ସମ୍ବେଦନଶୀଳ ଭାବରେ |
clearer,0.9,0.0,ଅଧିକ ସ୍ପଷ୍ଟ
selective,0.9,0.0,ଚୟନକର୍ତ୍ତା |
affirmative,0.9,0.0,ନିଶ୍ଚିତ
dirt-cheap,0.9,0.0,ମଇଳା-ଶସ୍ତା |
trust,0.9,0.0,ବିଶ୍ୱାସ
enthusiasm,0.9,0.0,ଉତ୍ସାହ
undaunted,0.9,0.0,ନିର୍ଭୟରେ
courageously,0.9,0.0,ସାହସର ସହିତ
useful,0.9,0.0,ଉପଯୋଗୀ |
adequate,0.9,0.0,ପର୍ଯ୍ୟାପ୍ତ
jubilation,0.9,0.0,ଆନନ୍ଦ
admirably,0.9,0.0,ପ୍ରଶଂସନୀୟ
phenomenally,0.9,0.0,ଅଦ୍ଭୁତପୂର୍ବକ |
decisiveness,0.9,0.0,ନିର୍ଣ୍ଣାୟକତା |
cozy,0.9,0.0,ଆରାମଦାୟକ
compassion,0.9,0.0,ଦୟା
handier,0.9,0.0,ହ୍ୟାଣ୍ଡିଅର୍ |
clears,0.9,0.0,ସଫା କରେ |
convincingly,0.9,0.0,ନିଶ୍ଚିତ ଭାବରେ
preferring,0.9,0.0,ପସନ୍ଦ
sagely,0.9,0.0,ସାଂଘାତିକ
viewable,0.9,0.0,ଦୃଶ୍ୟମାନ
awesome,0.9,0.0,ଅଦ୍ଭୁତ
abounds,0.9,0.0,ବହୁଳ |
keenness,0.9,0.0,ଆଗ୍ରହ
awards,0.9,0.0,ପୁରସ୍କାର
supportive,0.9,0.0,ସହାୟକ
fine,0.9,0.0,ଭଲ ଅଛି
pamperedness,0.9,0.0,ପାମ୍ପର୍ନେସ୍ |
unrivaled,0.9,0.0,ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱୀ |
best-selling,0.9,0.0,ସର୍ବୋତ୍ତମ ବିକ୍ରୟ |
hearten,0.9,0.0,ହୃଦୟ
sturdier,0.9,0.0,sturdier
advantages,0.9,0.0,ସୁବିଧା
panoramic,0.9,0.0,ପାନୋରାମିକ୍ |
enhanced,0.9,0.0,ଉନ୍ନତ
eulogize,0.9,0.0,eulogize
lighter,0.9,0.0,ହାଲୁକା |
won,0.9,0.0,ଜିତିଲା |
comprehensive,0.9,0.0,ବିସ୍ତୃତ
revival,0.9,0.0,ପୁନର୍ଜୀବନ
skilled,0.9,0.0,କୁଶଳୀ
