Term,PosScore,NegScore,Tamil
direct,0.75,0.0,நேரடி
adoptable,0.75,0.0,தத்தெடுக்கக்கூடியது
due,0.75,0.0,காரணமாக
ravishing,0.75,0.0,அழிவு
benefic,0.75,0.0,நன்மை பயக்கும்
unsurpassable,1.0,0.0,மீறமுடியாதது
thorough,0.75,0.0,முழுமையானது
cautious,0.75,0.0,எச்சரிக்கையாக
competent,0.75,0.0,திறமையானவர்
workmanlike,0.75,0.0,பணிபுரியும்
competent,0.75,0.0,திறமையானவர்
full-blown,0.75,0.0,முழு வீசிய
conspicuous,0.75,0.0,பகட்டான
differentiable,0.75,0.0,வேறுபடுத்தக்கூடியது
constant,0.75,0.125,மாறிலி
incorrupt,0.75,0.25,தவறான
corn-fed,0.75,0.0,சோளம் ஊட்டி
decorous,0.75,0.0,அலங்கார
definite,0.75,0.0,திட்டவட்டமான
importunate,0.75,0.125,இறக்குமதி
plummy,0.75,0.0,பிளம்மி
discerning,0.875,0.0,விவேகமான
incisive,0.75,0.0,incisive
metal-cutting,0.75,0.0,உலோக வெட்டு
bounden,0.875,0.0,எல்லை
disenchanted,0.875,0.0,ஏமாற்றமடைந்தார்
exportable,0.75,0.0,ஏற்றுமதி செய்யக்கூடியது
enlightened,0.75,0.0,அறிவொளி
estimable,1.0,0.0,மதிப்பிடத்தக்கது
exchangeable,0.75,0.0,பரிமாற்றம் செய்யக்கூடியது
expendable,0.75,0.0,செலவு செய்யக்கூடியது
extricable,0.75,0.0,பிரித்தெடுக்கக்கூடியது
fit,0.75,0.0,பொருத்தம்
pleasant-smelling,0.75,0.0,இனிமையான மணம்
goodish,0.75,0.0,நல்ல
goody-goody,0.875,0.0,நல்ல-நல்ல
white,0.75,0.0,வெள்ளை
good-natured,0.75,0.0,நல்ல இயல்புடையவர்
gainly,0.875,0.0,ஆதாயம்
bouncing,0.75,0.0,துள்ளல்
firm,0.875,0.0,நிறுவனம்
hearty,0.75,0.0,மனம் நிறைந்த
well-preserved,0.75,0.0,நன்கு பாதுகாக்கப்படுகிறது
laureate,0.75,0.0,பரிசு பெற்றவர்
droll,0.75,0.0,துளை
measurable,0.75,0.0,அளவிடக்கூடியது
intellectual,0.875,0.0,அறிவுசார்
inviting,0.75,0.0,அழைக்கும்
gladsome,0.75,0.0,கிளாட்ஸோம்
singable,0.75,0.0,பாடக்கூடியது
moralistic,0.75,0.125,அறநெறி
incorrupt,0.75,0.25,தவறான
licit,0.75,0.0,ஏலம்
incumbent,0.875,0.0,பதவியில்
unimpassioned,0.75,0.0,unimpassioned
finished,0.75,0.0,முடிந்தது
microscopic,0.75,0.0,நுண்ணிய
halal,0.75,0.0,சட்டபூர்வமானது
kosher,0.75,0.0,கோஷர்
disarming,0.75,0.125,நிராயுதபாணியாக்கம்
white,0.75,0.125,வெள்ளை
ladylike,0.75,0.0,பெண் போன்ற
unprintable,0.75,0.25,அச்சிட முடியாதது
diffident,0.875,0.0,வேறுபட்டது
answerable,0.875,0.0,பதிலளிக்கக்கூடிய
emancipative,0.75,0.125,விடுதலை
danceable,0.75,0.0,நடனமாடக்கூடியது
opposite,0.75,0.125,எதிர்
antiseptic,0.75,0.25,கிருமி நாசினிகள்
shapely,0.75,0.0,வடிவமாக
well-proportioned,0.75,0.0,நன்கு விகிதாசார
sound,0.75,0.0,ஒலி
straightarrow,0.875,0.125,நேராக
upper,0.75,0.0,மேல்
banner,0.875,0.0,பதாகை
gilt-edged,0.75,0.0,கில்ட் முனைகள்
premium,0.75,0.0,பிரீமியம்
shining,0.75,0.0,பிரகாசிக்கிறது
spiffing,0.875,0.0,spiffing
choice,0.75,0.125,தேர்வு
serviceable,0.75,0.0,சேவை செய்யக்கூடியது
sacred,0.75,0.0,புனிதமானது
constitutional,0.75,0.0,அரசியலமைப்பு
deliverable,0.75,0.0,வழங்கக்கூடியது
ducal,0.75,0.0,ducal
masterstroke,0.75,0.0,மாஸ்டர்ஸ்ட்ரோக்
pleasantry,0.75,0.0,இனிமையானது
indignity,0.75,0.0,கோபம்
props,0.875,0.0,முட்டுகள்
titillation,0.75,0.0,தலைப்பு
beatification,0.75,0.0,அடிமைப்படுத்தல்
rambouillet,0.75,0.0,rambouillet
character,0.875,0.0,தன்மை
drama,0.75,0.0,நாடகம்
chirpiness,0.75,0.0,உற்சாகம்
vivacity,0.75,0.25,உயிரோட்டம்
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,மழுங்கல்
picturesqueness,0.875,0.0,picturesqueness
pleasingness,0.75,0.0,மகிழ்ச்சி
attractiveness,0.75,0.0,கவர்ச்சி
innateness,0.75,0.25,இயல்பற்ற தன்மை
totality,0.75,0.0,மொத்தம்
looseness,0.75,0.25,தளர்வு
wholesomeness,0.875,0.0,ஆரோக்கியம்
healthfulness,0.875,0.0,ஆரோக்கியம்
trueness,0.75,0.0,உண்மை
tastefulness,0.875,0.0,சுவை
urbanity,0.875,0.0,நகர்ப்புறம்
conscientiousness,0.75,0.0,மனசாட்சி
safeness,0.75,0.25,பாதுகாப்பு
scrupulousness,0.75,0.0,மோசமான
integrity,0.875,0.125,நேர்மை
probity,0.75,0.0,நிகழ்தகவு
artfulness,0.75,0.0,கலைத்திறன்
dedication,0.875,0.0,அர்ப்பணிப்பு
urbanity,0.875,0.0,நகர்ப்புறம்
crispness,0.875,0.0,மிருதுவான தன்மை
extremeness,0.75,0.25,தீவிரம்
reasonableness,0.75,0.0,நியாயத்தன்மை
affirmativeness,0.75,0.0,உறுதிப்படுத்தல்
importance,0.75,0.125,முக்கியத்துவம்
account,0.875,0.125,கணக்கு
meaningfulness,0.75,0.125,அர்த்தமுள்ள தன்மை
shrillness,0.75,0.25,கூச்சம்
eye,0.75,0.0,கண்
logic,0.75,0.0,தர்க்கம்
judiciousness,0.875,0.0,நீதித்துறை
ear,0.75,0.0,காது
balletomania,0.75,0.0,பாலேடோமேனியா
mastering,0.75,0.0,மாஸ்டரிங்
principle,0.75,0.0,கொள்கை
hedonism,0.75,0.0,ஹெடோனிசம்
courtesy,0.75,0.0,மரியாதை
topper,0.75,0.0,முதலிடம்
divination,0.875,0.0,கணிப்பு
moralism,0.75,0.125,அறநெறி
bonheur,0.875,0.0,மகிழ்ச்சி
beneficence,0.75,0.0,நன்மை
criollo,0.75,0.0,கிரியோல்
amoralist,0.75,0.0,ஒழுக்கவாதி
brick,0.75,0.0,செங்கல்
first-rater,1.0,0.0,முதல் மதிப்பீட்டாளர்
out-and-outer,0.75,0.0,வெளியே மற்றும் வெளிப்புறம்
pleaser,0.75,0.0,மகிழ்ச்சி
possible,0.75,0.0,சாத்தியம்
serendipity,0.75,0.125,தற்செயல்
antithesis,0.75,0.0,எதிர்வினை
contrary,0.75,0.0,மாறாக
algidity,0.75,0.25,அல்ஜிடிட்டி
pathology,0.75,0.125,நோயியல்
character,0.875,0.0,தன்மை
fettle,0.75,0.0,கரு
time,0.75,0.0,நேரம்
simply,0.75,0.0,வெறுமனே
downright,0.75,0.0,வெளிப்படையான
recuperate,0.75,0.0,குணமடை
redound,0.75,0.0,redound
enervate,0.75,0.0,enervate
delouse,0.75,0.0,delouse
think,0.75,0.0,சிந்தியுங்கள்
receive,0.75,0.0,பெறு
consider,0.75,0.0,கருத்தில் கொள்ளுங்கள்
give,0.75,0.125,கொடுங்கள்
filigree,0.875,0.0,ஃபிலிகிரீ
stultify,0.75,0.125,பலப்படுத்துங்கள்
see,0.75,0.0,பார்க்க
vest,0.875,0.0,உடுப்பு
agree,0.875,0.0,ஒப்புக்கொள்கிறேன்
suit,0.875,0.0,வழக்கு
belong,0.75,0.0,சொந்தமானது
make,0.875,0.0,செய்ய
sensation,0.9,0.0,உணர்வு
thriving,0.9,0.0,வெற்றிகரமான
marvels,0.9,0.0,அற்புதங்கள்
vibrant,0.9,0.0,துடிப்பான
fragrant,0.9,0.0,மணம்
enthusiast,0.9,0.0,ஆர்வலர்
successfully,0.9,0.0,வெற்றிகரமாக
gifted,0.9,0.0,பரிசளித்தார்
unequivocal,0.9,0.0,தெளிவான
readily,0.9,0.0,உடனடியாக
solicitously,0.9,0.0,வேண்டுகோள்
enchantingly,0.9,0.0,மயக்கும்
gold,0.9,0.0,தங்கம்
comforting,0.9,0.0,ஆறுதல்
portable,0.9,0.0,சிறிய
sensations,0.9,0.0,உணர்வுகள்
truthful,0.9,0.0,உண்மை
notably,0.9,0.0,குறிப்பாக
bonny,0.9,0.0,பன்னி
adulate,0.9,0.0,adulate
jolly,0.9,0.0,மகிழ்ச்சி
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,ஆசை
venerate,0.9,0.0,வணங்குங்கள்
liking,0.9,0.0,விருப்பபடி
sweeping,0.9,0.0,துடைத்தல்
flexible,0.9,0.0,நெகிழ்வான
liberty,0.9,0.0,சுதந்திரம்
refresh,0.9,0.0,புதுப்பிப்பு
vivacious,0.9,0.0,உயிரோட்டமான
gem,0.9,0.0,மாணிக்கம்
impress,0.9,0.0,ஈர்க்க
trumpet,0.9,0.0,எக்காளம்
entrust,0.9,0.0,ஒப்படைக்கவும்
catchy,0.9,0.0,கவர்ச்சியுள்ள
talents,0.9,0.0,திறமைகள்
retractable,0.9,0.0,உள்ளிழுக்கும்
passionate,0.9,0.0,உணர்ச்சி
triumph,0.9,0.0,வெற்றி
afordable,0.9,0.0,afordable
congratulations,0.9,0.0,வாழ்த்துக்கள்
bargain,0.9,0.0,பேரம்
glad,0.9,0.0,மகிழ்ச்சி
rejuvenated,0.9,0.0,புத்துயிர் பெற்றது
top,0.9,0.0,மேல்
gladden,0.9,0.0,மகிழ்ச்சி
energize,0.9,0.0,ஆற்றல்
humane,0.9,0.0,மனிதாபிமானம்
swank,0.9,0.0,ஸ்வாங்க்
insightfully,0.9,0.0,நுண்ணறிவுடன்
courageousness,0.9,0.0,தைரியம்
fancinating,0.9,0.0,கற்பனை
maturity,0.9,0.0,முதிர்ச்சி
energy-efficient,0.9,0.0,ஆற்றல் திறன்
calm,0.9,0.0,அமைதியாக
desirable,0.9,0.0,விரும்பத்தக்கது
poeticize,0.9,0.0,கவிதை
easiest,0.9,0.0,எளிதானது
low-price,0.9,0.0,குறைந்த விலை
striving,0.9,0.0,பாடுபடுகிறது
advantage,0.9,0.0,நன்மை
cheerful,0.9,0.0,மகிழ்ச்சியான
ample,0.9,0.0,ஏராளமான
steady,0.9,0.0,நிலையான
effortless,0.9,0.0,சிரமமின்றி
innovation,0.9,0.0,கண்டுபிடிப்பு
fine-looking,0.9,0.0,அழகாக இருக்கிறது
wonders,0.9,0.0,அதிசயங்கள்
cashback,0.9,0.0,பணம் மீளப்பெறல்
quicker,0.9,0.0,விரைவாக
gleeful,0.9,0.0,மகிழ்ச்சியான
expertly,0.9,0.0,திறமையாக
divine,0.9,0.0,தெய்வீக
miraculously,0.9,0.0,அற்புதமாக
daring,0.9,0.0,தைரியமான
pepped,0.9,0.0,pepped
cooperatively,0.9,0.0,ஒத்துழைப்புடன்
gainful,0.9,0.0,லாபகரமான
rewarding,0.9,0.0,பலனளிக்கும்
magnificently,0.9,0.0,அற்புதமாக
captivate,0.9,0.0,வசீகரிக்கவும்
exceeding,0.9,0.0,மீறுகிறது
ready,0.9,0.0,தயார்
invaluablely,0.9,0.0,விலைமதிப்பற்ற
modesty,0.9,0.0,அடக்கம்
innovative,0.9,0.0,புதுமையானது
rapturous,0.9,0.0,பரபரப்பான
soulful,0.9,0.0,ஆத்மார்த்தமான
hard-working,0.9,0.0,கடின உழைப்பாளி
understandable,0.9,0.0,புரிந்துகொள்ளக்கூடியது
resourcefulness,0.9,0.0,வளம்
illumine,0.9,0.0,ஒளிரும்
trusty,0.9,0.0,நம்பகமான
patriot,0.9,0.0,தேசபக்தர்
amply,0.9,0.0,போதுமான
appreciate,0.9,0.0,பாராட்ட
large-capacity,0.9,0.0,பெரிய திறன்
ardent,0.9,0.0,தீவிரமான
inspiration,0.9,0.0,உத்வேகம்
topnotch,0.9,0.0,topnotch
fluent,0.9,0.0,சரளமாக
well-balanced,0.9,0.0,நன்கு சீரான
clear-cut,0.9,0.0,தெளிவான வெட்டு
lovely,0.9,0.0,அழகான
frugal,0.9,0.0,அளவாக செலவிடுதல்
affirm,0.9,0.0,உறுதிபடுத்தவும்
idealize,0.9,0.0,இலட்சியமாக்கு
great,0.9,0.0,நன்று
profoundly,0.9,0.0,ஆழமாக
gumption,0.9,0.0,gumption
elation,0.9,0.0,உற்சாகம்
stability,0.9,0.0,ஸ்திரத்தன்மை
spellbound,0.9,0.0,எழுத்துப்பிழை
obsessions,0.9,0.0,ஆவேசங்கள்
applaud,0.9,0.0,கைத்தட்டல்
willing,0.9,0.0,விருப்பம்
well-bred,0.9,0.0,நன்கு வளர்க்கப்பட்ட
cleanly,0.9,0.0,தூய்மையாக
graciousness,0.9,0.0,கருணை
constructive,0.9,0.0,ஆக்கபூர்வமான
pampers,0.9,0.0,pampers
hotcakes,0.9,0.0,ஹாட் கேக்குகள்
realistic,0.9,0.0,யதார்த்தமான
nicely,0.9,0.0,நன்றாக
unbiased,0.9,0.0,பக்கச்சார்பற்ற
virtuously,0.9,0.0,நல்லொழுக்கத்துடன்
free,0.9,0.0,இலவசம்
fairly,0.9,0.0,மிகவும்
cushy,0.9,0.0,குஷி
grand,0.9,0.0,உயரமான
admirer,0.9,0.0,ரசிக்கிறது
peaceable,0.9,0.0,அமைதியானது
laud,0.9,0.0,மேசை
renewed,0.9,0.0,புதுப்பிக்கப்பட்டது
inspire,0.9,0.0,ஊக்குவிக்கவும்
buoyant,0.9,0.0,மிதமான
humility,0.9,0.0,பணிவு
stabilize,0.9,0.0,உறுதிப்படுத்த
hopeful,0.9,0.0,நம்பிக்கை
staunchness,0.9,0.0,உறுதியான தன்மை
tenderly,0.9,0.0,மென்மையாக
amiabily,0.9,0.0,இணக்கமாக
liberation,0.9,0.0,விடுதலை
loveliness,0.9,0.0,அருமை
stunned,0.9,0.0,திகைத்துப்போனது
seamless,0.9,0.0,தடையற்ற
supremely,0.9,0.0,மிக உயர்ந்த
capable,0.9,0.0,திறன்
firmer,0.9,0.0,உறுதியான
overture,0.9,0.0,overture
chivalrous,0.9,0.0,chivalrous
ingeniously,0.9,0.0,தனித்துவமாக
freedom,0.9,0.0,சுதந்திரம்
well-positioned,0.9,0.0,நன்கு நிலைநிறுத்தப்பட்டுள்ளது
balanced,0.9,0.0,சமச்சீர்
refunded,0.9,0.0,திரும்பப் பெறப்பட்டது
triumphal,0.9,0.0,வெற்றி
angelic,0.9,0.0,தேவதூதர்
matchless,0.9,0.0,பொருத்தமற்றது
tenacious,0.9,0.0,உறுதியான
successful,0.9,0.0,வெற்றிகரமாக
powerfully,0.9,0.0,சக்திவாய்ந்த
uplifting,0.9,0.0,மேம்படுத்துதல்
dynamic,0.9,0.0,மாறும்
thankful,0.9,0.0,நன்றி
cuteness,0.9,0.0,வெட்டு
champ,0.9,0.0,புலம்
intriguingly,0.9,0.0,புதிராக
sufficiently,0.9,0.0,போதுமான
pepping,0.9,0.0,pepping
god-send,0.9,0.0,கடவுள்-அனுப்பு
mature,0.9,0.0,முதிர்ந்த
top-quality,0.9,0.0,உயர் தரம்
efficient,0.9,0.0,திறமையான
easy-to-use,0.9,0.0,பயன்படுத்த எளிதானது
peppy,0.9,0.0,மிளகுத்தூள்
idol,0.9,0.0,சிலை
elegantly,0.9,0.0,நேர்த்தியாக
glorious,0.9,0.0,மகிமை
insightful,0.9,0.0,நுண்ணறிவு
economical,0.9,0.0,பொருளாதார
reassurance,0.9,0.0,உறுதியளித்தல்
premier,0.9,0.0,முதல்
redeem,0.9,0.0,மீட்டு
pain-free,0.9,0.0,வலி இல்லாதது
supporter,0.9,0.0,ஆதரவாளர்
rejoicingly,0.9,0.0,மகிழ்ச்சியுடன்
dawn,0.9,0.0,விடியல்
gutsy,0.9,0.0,தைரியம்
terrifically,0.9,0.0,பயங்கரமாக
imaculate,0.9,0.0,மாசற்ற
appreciated,0.9,0.0,பாராட்டப்பட்டது
strongest,0.9,0.0,வலிமையானது
accomplish,0.9,0.0,சாதிக்க
stimulate,0.9,0.0,தூண்டுகிறது
distinguished,0.9,0.0,புகழ்பெற்ற
joy,0.9,0.0,மகிழ்ச்சி
enjoyed,0.9,0.0,ரசித்தேன்
elate,0.9,0.0,elate
benefit,0.9,0.0,நன்மை
openness,0.9,0.0,திறந்தநிலை
achievement,0.9,0.0,சாதனை
honorable,0.9,0.0,க .ரவமான
salute,0.9,0.0,ஆரோக்கியம்
genuine,0.9,0.0,நேர்மையான
unbound,0.9,0.0,வரம்பற்ற
convienient,0.9,0.0,இணக்கமான
enlighten,0.9,0.0,அறிவொளி
dumbfounding,0.9,0.0,dumbfounding
unabashed,0.9,0.0,unabashed
rapturously,0.9,0.0,பரபரப்பாக
steadiness,0.9,0.0,நிலைத்தன்மை
sensationally,0.9,0.0,பரபரப்பாக
clearer,0.9,0.0,தெளிவானது
selective,0.9,0.0,தேர்ந்தெடுக்கப்பட்ட
affirmative,0.9,0.0,உறுதியான
dirt-cheap,0.9,0.0,மிகவும் மலிவான
trust,0.9,0.0,நம்பிக்கை
enthusiasm,0.9,0.0,உற்சாகம்
undaunted,0.9,0.0,பயப்படாத
courageously,0.9,0.0,தைரியமாக
useful,0.9,0.0,பயனுள்ளதாக இருக்கும்
adequate,0.9,0.0,போதுமானது
jubilation,0.9,0.0,மகிழ்ச்சி
admirably,0.9,0.0,போற்றத்தக்கது
phenomenally,0.9,0.0,தனித்துவமாக
decisiveness,0.9,0.0,தீர்க்கமான தன்மை
cozy,0.9,0.0,வசதியான
compassion,0.9,0.0,இரக்கம்
handier,0.9,0.0,ஹேண்டியர்
clears,0.9,0.0,அழிக்கிறது
convincingly,0.9,0.0,உறுதியுடன்
preferring,0.9,0.0,விரும்புகிறது
sagely,0.9,0.0,sagely
viewable,0.9,0.0,பார்க்கக்கூடியது
awesome,0.9,0.0,அருமை
abounds,0.9,0.0,ஏராளமாக
keenness,0.9,0.0,ஆர்வம்
awards,0.9,0.0,விருதுகள்
supportive,0.9,0.0,ஆதரவு
fine,0.9,0.0,நன்றாக இருக்கிறது
pamperedness,0.9,0.0,pamperedness
unrivaled,0.9,0.0,நிகரற்றது
best-selling,0.9,0.0,சிறந்த விற்பனை
hearten,0.9,0.0,மனம்
sturdier,0.9,0.0,உறுதியான
advantages,0.9,0.0,நன்மைகள்
panoramic,0.9,0.0,பனோரமிக்
enhanced,0.9,0.0,மேம்படுத்தப்பட்டது
eulogize,0.9,0.0,புகழ்ந்து பேசுங்கள்
lighter,0.9,0.0,இலகுவானது
won,0.9,0.0,வென்றது
comprehensive,0.9,0.0,விரிவான
revival,0.9,0.0,மறுமலர்ச்சி
skilled,0.9,0.0,திறமையான
enticing,0.9,0.0,கவர்ந்திழுக்கும்
tenacity,0.9,0.0,உறுதியான தன்மை
supporting,0.9,0.0,துணை
greatest,0.9,0.0,மிகப்பெரியது
fabulously,0.9,0.0,அற்புதமாக
altruistic,0.9,0.0,மாற்றுத்திறனாளி
enticingly,0.9,0.0,கவர்ந்திழுக்கும்
silent,0.9,0.0,அமைதியாக
pleasant,0.9,0.0,இனிமையானது
fondness,0.9,0.0,பாசம்
upgradeable,0.9,0.0,மேம்படுத்தக்கூடியது
phenomenal,0.9,0.0,தனித்துவமானது
fans,0.9,0.0,ரசிகர்கள்
state-of-the-art,0.9,0.0,மாநில-ன்-கலை
noble,0.9,0.0,உன்னத
fast-growing,0.9,0.0,வேகாமாக வளர்ந்து வரும்
serene,0.9,0.0,அமைதியான
handsomely,0.9,0.0,அழகாக
nourish,0.9,0.0,ஊட்டமளிக்கவும்
usable,0.9,0.0,பொருந்தக்கூடியது
spotless,0.9,0.0,களங்கமற்ற
bless,0.9,0.0,ஆசீர்வதிப்பார்
exemplar,0.9,0.0,முன்மாதிரி
poignant,0.9,0.0,கடுமையான
ambitious,0.9,0.0,லட்சிய
worked,0.9,0.0,வேலை
proud,0.9,0.0,பெருமை
enrich,0.9,0.0,வளப்படுத்த
kindness,0.9,0.0,கருணை
warmth,0.9,0.0,அரவணைப்பு
excitement,0.9,0.0,உற்சாகம்
sweetly,0.9,0.0,இனிமையாக
blithe,0.9,0.0,blithe
contribution,0.9,0.0,பங்களிப்பு
rejuvenating,0.9,0.0,புத்துணர்ச்சி
intimacy,0.9,0.0,நெருக்கம்
effectively,0.9,0.0,திறம்பட
wholesome,0.9,0.0,ஆரோக்கியமான
approve,0.9,0.0,ஒப்புதல்
truthfulness,0.9,0.0,உண்மைத்தன்மை
handily,0.9,0.0,எளிதில்
staunchly,0.9,0.0,கடுமையாக
prominence,0.9,0.0,முக்கியத்துவம்
merciful,0.9,0.0,இரக்கமுள்ள
stirringly,0.9,0.0,கிளறி
outdone,0.9,0.0,காலாவதியானது
overtake,0.9,0.0,முந்தியது
unbeatable,0.9,0.0,தோற்கடிக்க முடியாத
sufficient,0.9,0.0,போதுமானது
ardently,0.9,0.0,தீவிரமாக
classic,0.9,0.0,செந்தரம்
civility,0.9,0.0,நாகரிகம்
ingenuity,0.9,0.0,புத்தி கூர்மை
masterpiece,0.9,0.0,தலைசிறந்த படைப்பு
fidelity,0.9,0.0,நம்பகத்தன்மை
reliable,0.9,0.0,நம்பகமான
charisma,0.9,0.0,கவர்ச்சி
readable,0.9,0.0,படிக்கக்கூடியது
compatible,0.9,0.0,இணக்கமானது
fulfillment,0.9,0.0,பூர்த்தி
skillfully,0.9,0.0,திறமையாக
tingle,0.9,0.0,கூச்சம்
excel,0.9,0.0,எக்செல்
enviously,0.9,0.0,பொறாமை
swanky,0.9,0.0,ஸ்வாங்கி
celebration,0.9,0.0,கொண்டாட்டம்
progress,0.9,0.0,முன்னேற்றம்
empowerment,0.9,0.0,அதிகாரம்
tranquility,0.9,0.0,அமைதி
led,0.9,0.0,வழிநடத்தியது
achievible,0.9,0.0,அடையக்கூடியது
bright,0.9,0.0,பிரகாசமான
appreciatively,0.9,0.0,பாராட்டத்தக்க வகையில்
inspirational,0.9,0.0,தூண்டுதலாக
accessible,0.9,0.0,அணுகக்கூடியது
lionhearted,0.9,0.0,சிங்கம்
refreshing,0.9,0.0,புத்துணர்ச்சி
splendidly,0.9,0.0,அற்புதமாக
marvelous,0.9,0.0,அற்புத
illustrious,0.9,0.0,சிறப்பான
revives,0.9,0.0,புத்துயிர் பெறுகிறது
originality,0.9,0.0,அசல் தன்மை
gratification,0.9,0.0,திருப்தி
motivated,0.9,0.0,உந்துதல்
playfully,0.9,0.0,விளையாட்டுத்தனமாக
awe,0.9,0.0,பிரமிப்பு
overtakes,0.9,0.0,முந்தியது
eloquent,0.9,0.0,சொற்பொழிவு
proficient,0.9,0.0,திறமையானவர்
cheapest,0.9,0.0,மலிவானது
intelligible,0.9,0.0,புரியக்கூடியது
luxuriant,0.9,0.0,ஆடம்பரமான
adaptable,0.9,0.0,தகவமைப்பு
enraptured,0.9,0.0,enraptured
luckiest,0.9,0.0,அதிர்ஷ்டசாலி
healthy,0.9,0.0,ஆரோக்கியமான
luster,0.9,0.0,காந்தி
brotherly,0.9,0.0,சகோதர
compliment,0.9,0.0,பாராட்டு
leading,0.9,0.0,முன்னணி
fortunately,0.9,0.0,அதிர்ஷ்டவசமாக
resplendent,0.9,0.0,resplendent
obtainable,0.9,0.0,பெறக்கூடியது
inventive,0.9,0.0,கண்டுபிடிப்பு
ardor,0.9,0.0,எரியும்
propitiously,0.9,0.0,உற்சாகமாக
cost-effective,0.9,0.0,செலவு குறைந்த
charismatic,0.9,0.0,கவர்ந்திழுக்கும்
merit,0.9,0.0,தகுதி
gusto,0.9,0.0,ஆர்வம்
stimulates,0.9,0.0,தூண்டுகிறது
