Term,PosScore,NegScore,Urdu
enterprising,0.9,0.0,کاروباری
intriguing,0.9,0.0,دلچسپ
aspire,0.9,0.0,خواہش
elegance,0.9,0.0,خوبصورتی
delightful,0.9,0.0,لذت بخش
maneuverable,0.9,0.0,تدبیر
friendly,0.9,0.0,دوستانہ
gainfully,0.9,0.0,فائدہ مند
ideally,0.9,0.0,مثالی طور پر
complements,0.9,0.0,تکمیلات
hardy,0.9,0.0,ہارڈی
unconditional,0.9,0.0,غیر مشروط
homage,0.9,0.0,خراج عقیدت پیش
talented,0.9,0.0,باصلاحیت
stellarly,0.9,0.0,واضح طور پر
futurestic,0.9,0.0,مستقبل کا
congratulation,0.9,0.0,مبارکباد
soft,0.9,0.0,نرم
glory,0.9,0.0,عظمت
encouragingly,0.9,0.0,حوصلہ افزائی سے
stylishly,0.9,0.0,سجاوٹ کے ساتھ
afford,0.9,0.0,برداشت کرنا
jollify,0.9,0.0,جولیفائ کرنا
skill,0.9,0.0,مہارت
reasoned,0.9,0.0,استدلال
piety,0.9,0.0,تقویٰ
peaceful,0.9,0.0,پرامن
warmhearted,0.9,0.0,گرمجوشی سے
endorsing,0.9,0.0,کی توثیق
impressively,0.9,0.0,متاثر کن
bravo,0.9,0.0,براوو
improvement,0.9,0.0,بہتری
sumptuously,0.9,0.0,سختی سے
pamper,0.9,0.0,لاڈ
avidly,0.9,0.0,بے چین
profusion,0.9,0.0,منافع
tenaciously,0.9,0.0,سختی سے
glisten,0.9,0.0,چمکنا
famously,0.9,0.0,مشہور
timely,0.9,0.0,بروقت
well-known,0.9,0.0,اچھی طرح سے جانا جاتا ہے
tranquil,0.9,0.0,سکون
carefree,0.9,0.0,لاپرواہ
healthful,0.9,0.0,صحت مند
dignified,0.9,0.0,وقار
elegant,0.9,0.0,خوبصورت
easy,0.9,0.0,آسان
excitingly,0.9,0.0,دلچسپی سے
well-received,0.9,0.0,اچھی طرح موصول
impressiveness,0.9,0.0,تاثیر
simplifies,0.9,0.0,آسان بناتا ہے
thrift,0.9,0.0,کفایت
willingness,0.9,0.0,خواہش
virtuous,0.9,0.0,نیک
outperforms,0.9,0.0,آؤٹفارفارمز
adroitly,0.9,0.0,adroitly
believable,0.9,0.0,قابل اعتماد
ecstasies,0.9,0.0,خوشی
glimmering,0.9,0.0,چمکتی ہوئی
continuity,0.9,0.0,تسلسل
unaffected,0.9,0.0,متاثر نہیں
neatest,0.9,0.0,قریب ترین
prefered,0.9,0.0,ترجیح دی
attraction,0.9,0.0,کشش
kindly,0.9,0.0,برائے مہربانی
breeze,0.9,0.0,ہوا
amicable,0.9,0.0,خوش مزاج
flatter,0.9,0.0,چاپلوسی
knowledgeable,0.9,0.0,علم والا
first-in-class,0.9,0.0,پہلی جماعت میں
gratifyingly,0.9,0.0,خوشی سے
windfall,0.9,0.0,ہوا کا گرنا
nicer,0.9,0.0,اچھا
dedicated,0.9,0.0,سرشار
well-intentioned,0.9,0.0,اچھی نیت سے
autonomous,0.9,0.0,خود مختار
awed,0.9,0.0,عجیب
promises,0.9,0.0,وعدے
lucrative,0.9,0.0,منافع بخش
compassionate,0.9,0.0,شفقت مند
dependably,0.9,0.0,انحصار سے
handsome,0.9,0.0,خوبصورت
chic,0.9,0.0,وضع دار
excited,0.9,0.0,بہت پرجوش
infallibly,0.9,0.0,عصمت دری سے
proving,0.9,0.0,ثابت کرنا
impresses,0.9,0.0,متاثر کرتا ہے
interests,0.9,0.0,مفادات
enviably,0.9,0.0,حسد سے
dotingly,0.9,0.0,dotfully
superior,0.9,0.0,اعلی
pleasurable,0.9,0.0,خوشگوار
industrious,0.9,0.0,محنتی
polite,0.9,0.0,شائستہ
slick,0.9,0.0,ہوشیار
compliant,0.9,0.0,شکایت
smile,0.9,0.0,مسکراہٹ
agreeably,0.9,0.0,اتفاق سے
miraculousness,0.9,0.0,چمتکاری
works,0.9,0.0,کام کرتا ہے
reverent,0.9,0.0,احترام کرنا
graciously,0.9,0.0,مہربانی سے
pinnacle,0.9,0.0,چوٹی
risk-free,0.9,0.0,خطرے سے پاک
empathize,0.9,0.0,ہمدردی
righteous,0.9,0.0,راستباز
subsidize,0.9,0.0,سبسڈی دینا
effusion,0.9,0.0,بہاو
unfazed,0.9,0.0,بے نقاب
awarded,0.9,0.0,نوازا
excelled,0.9,0.0,عمدہ
beckon,0.9,0.0,اشارہ
well-backlit,0.9,0.0,اچھی طرح سے backlit
law-abiding,0.9,0.0,قانون کی پاسداری
eased,0.9,0.0,نرمی
amusingly,0.9,0.0,دل لگی
sensible,0.9,0.0,سمجھدار
impeccable,0.9,0.0,معصوم
awesomely,0.9,0.0,بہت اچھ .ا
competitive,0.9,0.0,مسابقتی
bravery,0.9,0.0,بہادری
distinction,0.9,0.0,امتیاز
sagacity,0.9,0.0,بداخلاقی
goood,0.9,0.0,اچھ .ا
properly,0.9,0.0,مناسب طریقے سے
bloom,0.9,0.0,کھلنا
freshest,0.9,0.0,تازہ ترین
richly,0.9,0.0,بھرپور طریقے سے
well-wishers,0.9,0.0,خیر خواہ
flawlessly,0.9,0.0,بے عیب
quaint,0.9,0.0,پرانا
smartest,0.9,0.0,ہوشیار
gracious,0.9,0.0,مہربان
youthful,0.9,0.0,جوانی
revolutionizes,0.9,0.0,انقلاب لاتا ہے
eloquently,0.9,0.0,فصاحت
beautiful,0.9,0.0,خوبصورت
feasibly,0.9,0.0,ممکنہ طور پر
relaxed,0.9,0.0,آرام دہ
succes,0.9,0.0,کامیابی
incredible,0.9,0.0,ناقابل یقین
recovery,0.9,0.0,بحالی
wisely,0.9,0.0,دانشمندی سے
effective,0.9,0.0,موثر
merriment,0.9,0.0,خوشی
low-risk,0.9,0.0,کم خطرہ
affluence,0.9,0.0,فراوانی
admirable,0.9,0.0,قابل ستائش
inpressed,0.9,0.0,دبے ہوئے
wows,0.9,0.0,واہ
refine,0.9,0.0,صاف کرنا
brave,0.9,0.0,بہادر
amity,0.9,0.0,ہم آہنگی
benevolent,0.9,0.0,مہربان
securely,0.9,0.0,محفوظ طریقے سے
improved,0.9,0.0,بہتر ہوا
desiring,0.9,0.0,خواہش
reform,0.9,0.0,اصلاح
romantically,0.9,0.0,رومانٹک طور پر
sporty,0.9,0.0,اسپورٹی
reverence,0.9,0.0,عقیدت
invigorate,0.9,0.0,متحرک کرنا
outstanding,0.9,0.0,شاندار
prefers,0.9,0.0,ترجیحات
magnificent,0.9,0.0,شاندار
outperformed,0.9,0.0,کارکردگی کا مظاہرہ
eminence,0.9,0.0,اہمیت
satisified,0.9,0.0,مطمئن
enviousness,0.9,0.0,حسد
overjoyed,0.9,0.0,بہت خوش
sophisticated,0.9,0.0,نفیس
extol,0.9,0.0,ایکسل
astonishingly,0.9,0.0,حیرت سے
world-famous,0.9,0.0,دنیا بھر میں مشہور
gratitude,0.9,0.0,شکرگزاری
deservedly,0.9,0.0,مستحق
mesmerizingly,0.9,0.0,مسماری سے
unparalleled,0.9,0.0,بے مثال
gorgeously,0.9,0.0,خوبصورتی سے
genial,0.9,0.0,زبردست
succeed,0.9,0.0,کامیاب
beautifullly,0.9,0.0,خوبصورتی سے
faithfully,0.9,0.0,وفاداری سے
priceless,0.9,0.0,انمول
exultant,0.9,0.0,رقص
thank,0.9,0.0,شکریہ
thumbs-up,0.9,0.0,بہت خوب
titillating,0.9,0.0,ٹائٹلٹنگ
preferably,0.9,0.0,ترجیحا
wonder,0.9,0.0,حیرت
jubilate,0.9,0.0,خوشی
finest,0.9,0.0,بہترین
recommendation,0.9,0.0,سفارش
astonishing,0.9,0.0,حیرت زدہ
enrapt,0.9,0.0,enrapt
honesty,0.9,0.0,ایمانداری
luxury,0.9,0.0,عیش و آرام کی
futuristic,0.9,0.0,مستقبل
important,0.9,0.0,اہم
gaily,0.9,0.0,گیلی
smooth,0.9,0.0,ہموار
stronger,0.9,0.0,مضبوط
high-spirited,0.9,0.0,بلند حوصلہ افزائی
succeeding,0.9,0.0,کامیاب
beloved,0.9,0.0,محبوب
beautifully,0.9,0.0,خوبصورتی سے
sustainable,0.9,0.0,پائیدار
staunch,0.9,0.0,سخت
nice,0.9,0.0,اچھا
acclamation,0.9,0.0,تعریف
stellar,0.9,0.0,تارکیی
favorited,0.9,0.0,پسندیدہ
zenith,0.9,0.0,زینتھ
courteous,0.9,0.0,شائستہ
heroically,0.9,0.0,بہادری سے
lucky,0.9,0.0,خوش قسمت
correctly,0.9,0.0,صحیح طریقے سے
prudent,0.9,0.0,محتاط
success,0.9,0.0,کامیابی
lustrous,0.9,0.0,فحش
non-violent,0.9,0.0,غیر متشدد
fervid,0.9,0.0,fervid
gratifying,0.9,0.0,خوش کرنے والا
statuesque,0.9,0.0,مجسمہ
heartening,0.9,0.0,خوش کرنے والا
unequivocally,0.9,0.0,غیر واضح
brand-new,0.9,0.0,بالکل نیا
blockbuster,0.9,0.0,بلاک بسٹر
breathtaking,0.9,0.0,سانس لینے والا
remission,0.9,0.0,معافی
heal,0.9,0.0,چنگا کرنا
accomodative,0.9,0.0,رہائشی
ebullience,0.9,0.0,ایبلینسی
rightness,0.9,0.0,صداقت
nobly,0.9,0.0,nobly
finer,0.9,0.0,بہتر
gaiety,0.9,0.0,خوشی
eagerly,0.9,0.0,بے تابی سے
accessable,0.9,0.0,قابل رسائی
acclaim,0.9,0.0,تعریف
self-sufficient,0.9,0.0,خود کفیل
adulatory,0.9,0.0,مشق
roomy,0.9,0.0,کمرا
harmonious,0.9,0.0,ہم آہنگی
ecstatically,0.9,0.0,خوشی سے
relent,0.9,0.0,پرجوش
impassioned,0.9,0.0,بے چین
rectifying,0.9,0.0,اصلاح کرنا
prize,0.9,0.0,انعام
beauteous,0.9,0.0,خوبصورت
confidence,0.9,0.0,اعتماد
cherished,0.9,0.0,پسند ہے
outstrip,0.9,0.0,آؤٹ ٹریپ
wieldy,0.9,0.0,چال
picturesque,0.9,0.0,سرمی
educated,0.9,0.0,تعلیم یافتہ
dauntless,0.9,0.0,بے باک
embolden,0.9,0.0,حوصلہ افزائی
reaffirmation,0.9,0.0,دوبارہ تصدیق
cost-saving,0.9,0.0,لاگت کی بچت
brainy,0.9,0.0,دماغی
unencumbered,0.9,0.0,بے حساب
amenity,0.9,0.0,سہولت
valor,0.9,0.0,قدر
convience,0.9,0.0,یقین
err-free,0.9,0.0,غلطی سے پاک
hotcake,0.9,0.0,گرم کیک
delighted,0.9,0.0,خوش
prestigious,0.9,0.0,معتبر
amazingly,0.9,0.0,حیرت سے
encourage,0.9,0.0,حوصلہ افزائی
liked,0.9,0.0,پسند کیا
correct,0.9,0.0,درست
outdo,0.9,0.0,outdo
helped,0.9,0.0,مدد کی
accolade,0.9,0.0,تعریف
invulnerable,0.9,0.0,ناقابل شکست
defeating,0.9,0.0,شکست دینا
gems,0.9,0.0,جواہرات
low-priced,0.9,0.0,کم قیمت والی
patiently,0.9,0.0,صبر سے
dazzle,0.9,0.0,چکرا
enviable,0.9,0.0,قابل رشک
engaging,0.9,0.0,مشغول
ingenuous,0.9,0.0,ہوشیار
peach,0.9,0.0,آڑو
gleefully,0.9,0.0,خوشی سے
supurbly,0.9,0.0,supurbly
refund,0.9,0.0,واپس کرنا
lower-priced,0.9,0.0,کم قیمت
patriotic,0.9,0.0,محب وطن
calmness,0.9,0.0,سکون
irreplaceable,0.9,0.0,ناقابل جگہ
fearlessly,0.9,0.0,بے خوف
steadfastly,0.9,0.0,ثابت قدمی سے
exalting,0.9,0.0,بلند کرنا
trustworthiness,0.9,0.0,اعتماد
accommodative,0.9,0.0,سازگار
unrestricted,0.9,0.0,بلاضرورت
affordably,0.9,0.0,سستی سے
appeal,0.9,0.0,اپیل
integrated,0.9,0.0,ضم
dead-on,0.9,0.0,مردہ پر
remarkable,0.9,0.0,قابل ذکر
brainiest,0.9,0.0,ذہین
time-honored,0.9,0.0,وقت سے اعزاز
savior,0.9,0.0,نجات دہندہ
backbone,0.9,0.0,ریڑھ کی ہڈی
outstandingly,0.9,0.0,بقایا
amazement,0.9,0.0,حیرت
replaceable,0.9,0.0,قابل بدلا
swankiest,0.9,0.0,swankiest
energy-saving,0.9,0.0,توانائی کی بچت
prodigious,0.9,0.0,اچھ .ا
amicably,0.9,0.0,خوش قسمتی سے
guarantee,0.9,0.0,گارنٹی
simplifying,0.9,0.0,آسان کرنا
supremacy,0.9,0.0,بالادستی
softer,0.9,0.0,نرم
honest,0.9,0.0,ایماندار
covenant,0.9,0.0,عہد
striking,0.9,0.0,حیرت انگیز
sensitive,0.9,0.0,حساس
attractively,0.9,0.0,دلکش
electrify,0.9,0.0,بجلی بنانا
best-performing,0.9,0.0,بہترین کارکردگی
simplify,0.9,0.0,آسان بنائیں
spellbinding,0.9,0.0,ہجے پابند
cure-all,0.9,0.0,سب کا علاج
hands-down,0.9,0.0,ہاتھ نیچے کرنا
soundly,0.9,0.0,اچھی طرح سے
snappy,0.9,0.0,تیز
exquisite,0.9,0.0,شاندار
reassure,0.9,0.0,یقین دہانی
brilliances,0.9,0.0,چمک
paramount,0.9,0.0,سب سے اہم
dextrous,0.9,0.0,مکروہ
lucidly,0.9,0.0,lucidly
contrasty,0.9,0.0,متضاد
accomplishment,0.9,0.0,کامیابی
humorous,0.9,0.0,مزاحیہ
appropriate,0.9,0.0,مناسب
undisputably,0.9,0.0,بلا شبہ
clearly,0.9,0.0,واضح طور پر
admiringly,0.9,0.0,تعریف
eventful,0.9,0.0,واقعاتی
guidance,0.9,0.0,رہنمائی
hallowed,0.9,0.0,تقدیس
liberate,0.9,0.0,آزاد کریں
reclaim,0.9,0.0,دوبارہ دعوی کرنا
outperform,0.9,0.0,آؤٹفارفارم
valiant,0.9,0.0,بہادر
magnanimously,0.9,0.0,بڑے پیمانے پر
upliftingly,0.9,0.0,upliftly
heaven,0.9,0.0,جنت
robust,0.9,0.0,مضبوط
blameless,0.9,0.0,بے قصور
spellbind,0.9,0.0,ہجے
meritorious,0.9,0.0,قابل تحسین
self-determination,0.9,0.0,خود ارادیت
happiness,0.9,0.0,خوشی
enjoyable,0.9,0.0,قابل لطف
subsidizes,0.9,0.0,سبسڈی
nurturing,0.9,0.0,پرورش
eminent,0.9,0.0,نامور
heavenly,0.9,0.0,آسمانی
engrossing,0.9,0.0,حیرت انگیز
rich,0.9,0.0,امیر
humor,0.9,0.0,مزاح
first-rate,0.9,0.0,پہلی قیمت
unselfish,0.9,0.0,بے غرض
oasis,0.9,0.0,نخلستان
poised,0.9,0.0,تیار
kid-friendly,0.9,0.0,بچ kidہ دوستانہ
harmonize,0.9,0.0,ہم آہنگی
vigilant,0.9,0.0,چوکنا
outwit,0.9,0.0,outwit
adoringly,0.9,0.0,پیار سے
quieter,0.9,0.0,پرسکون
fondly,0.9,0.0,شوق سے
instructive,0.9,0.0,تعلیم دینے والا
complemented,0.9,0.0,تکمیل شدہ
all-around,0.9,0.0,چاروں طرف
hallmarks,0.9,0.0,پہچان
soundness,0.9,0.0,تندرستی
dashing,0.9,0.0,تیز
overtaken,0.9,0.0,آ پڑے
grace,0.9,0.0,فضل
advocate,0.9,0.0,وکیل
fanfare,0.9,0.0,دھوم دھام
jubilantly,0.9,0.0,خوشی سے
praising,0.9,0.0,تعریف کرنا
tops,0.9,0.0,سب سے اوپر
succeeds,0.9,0.0,کامیاب ہوتا ہے
astonished,0.9,0.0,حیران
danken,0.9,0.0,شکریہ
affection,0.9,0.0,پیار
geeky,0.9,0.0,geeky
hot,0.9,0.0,گرم
advantageous,0.9,0.0,فائدہ مند
improve,0.9,0.0,بہتر بنائیں
sweetheart,0.9,0.0,پیاری
eloquence,0.9,0.0,فصاحت
audibly,0.9,0.0,سمعی طور پر
charmingly,0.9,0.0,دلکش
incredibly,0.9,0.0,ناقابل یقین حد تک
solicitous,0.9,0.0,اکیلا
well-made,0.9,0.0,اچھی طرح سے بنایا
logical,0.9,0.0,منطقی
zeal,0.9,0.0,جوش
thoughtfully,0.9,0.0,سوچ سمجھ کر
solid,0.9,0.0,ٹھوس
deference,0.9,0.0,احترام
intuitive,0.9,0.0,بدیہی
punctual,0.9,0.0,وقت کی پابند
hallmark,0.9,0.0,ہال مارک
redeeming,0.9,0.0,چھڑانا
safe,0.9,0.0,محفوظ
excallent,0.9,0.0,شاندار
fortune,0.9,0.0,خوش قسمتی
grin,0.9,0.0,مسکراہٹ
awesomeness,0.9,0.0,بہتری
succeeded,0.9,0.0,کامیاب
beckons,0.9,0.0,اشارہ
pamperedly,0.9,0.0,لاڈ سے
appreciative,0.9,0.0,قابل ستائش
thrilled,0.9,0.0,بہت خوش ہوئے
loyal,0.9,0.0,وفادار
adventurous,0.9,0.0,بہادر
booming,0.9,0.0,عروج پر
renown,0.9,0.0,شہرت
dote,0.9,0.0,جہیز
reformed,0.9,0.0,اصلاح شدہ
excellently,0.9,0.0,عمدہ طور پر
fresh,0.9,0.0,تازه
exceedingly,0.9,0.0,بہت زیادہ
undisputable,0.9,0.0,غیر متنازعہ
distinctive,0.9,0.0,مخصوص
hale,0.9,0.0,ہال
gloriously,0.9,0.0,عما کے ساتھ
elan,0.9,0.0,اعلان
stylized,0.9,0.0,سٹائلائزڈ
sweeten,0.9,0.0,میٹھا
alluring,0.9,0.0,کشش
fecilitous,0.9,0.0,fecilitous
overtaking,0.9,0.0,اوورٹیکٹنگ
saver,0.9,0.0,سیور
ftw,0.9,0.0,ftw
laudable,0.9,0.0,قابل ستائش
euphoric,0.9,0.0,جوش و خروش
impartially,0.9,0.0,غیرجانبداری سے
lifesaver,0.9,0.0,زندگی بچانے والا
simplest,0.9,0.0,سب سے آسان
excellency,0.9,0.0,مہارت
agility,0.9,0.0,چپلتا
blessing,0.9,0.0,برکت
winnable,0.9,0.0,winnable
fair,0.9,0.0,منصفانہ
monumentally,0.9,0.0,یادگار طور پر
felicity,0.9,0.0,فیلیسیٹی
hottest,0.9,0.0,سب سے زیادہ گرم
courtly,0.9,0.0,عدالت سے
headway,0.9,0.0,پیش قدمی
bonuses,0.9,0.0,بونس
best-known,0.9,0.0,سب سے معروف
significant,0.9,0.0,اہم
smoothes,0.9,0.0,ہموار
prettily,0.9,0.0,خوبصورت طور پر
affinity,0.9,0.0,تعلق
meaningful,0.9,0.0,بامعنی
prosperous,0.9,0.0,خوشحال
ambitiously,0.9,0.0,مہتواکانکشی سے
versatility,0.9,0.0,استرتا
lawfully,0.9,0.0,حلال
resourceful,0.9,0.0,وسائل
endearing,0.9,0.0,پیارے
felicitate,0.9,0.0,اچھی قسمت
heartily,0.9,0.0,دل سے
admire,0.9,0.0,تعریف کرنا
suffices,0.9,0.0,کافی
aspirations,0.9,0.0,خواہشات
infallibility,0.9,0.0,عدم استحکام
surpass,0.9,0.0,پیچھے چھوڑ دیں
delicious,0.9,0.0,مزیدار
complimentary,0.9,0.0,مانارت
novelty,0.9,0.0,نیاپن
coherence,0.9,0.0,ہم آہنگی
subsidized,0.9,0.0,سبسڈی دی گئی
surreal,0.9,0.0,غیر حقیقی
spiritual,0.9,0.0,روحانی
grandeur,0.9,0.0,عظمت
improving,0.9,0.0,بہتری
goodness,0.9,0.0,نیکی
bonus,0.9,0.0,اضافی انعام
amusing,0.9,0.0,دل لگی
confident,0.9,0.0,پر اعتماد
felicitous,0.9,0.0,مبارک
compactly,0.9,0.0,کومپیکٹ
trivially,0.9,0.0,چھوٹی سی
achievable,0.9,0.0,قابل حصول
merrily,0.9,0.0,خوشی سے
exhilarating,0.9,0.0,خوش کن
thrills,0.9,0.0,سنسنی
tidy,0.9,0.0,صاف
jubiliant,0.9,0.0,جوبلی
sensibly,0.9,0.0,سمجھداری سے
restructure,0.9,0.0,تنظیم نو
miraculous,0.9,0.0,معجزہ
glee,0.9,0.0,خوشی
whoa,0.9,0.0,واہ
superb,0.9,0.0,بہت اچھا
obsession,0.9,0.0,جنون
joyfully,0.9,0.0,خوشی سے
undisputed,0.9,0.0,غیر متنازعہ
comely,0.9,0.0,خوبصورت
gorgeous,0.9,0.0,خوبصورت
luckier,0.9,0.0,خوش قسمت
worth,0.9,0.0,قابل
beneficially,0.9,0.0,فائدہ مند
user-replaceable,0.9,0.0,صارف سے بدلا جا سکتا ہے
decent,0.9,0.0,مہذب
blissfully,0.9,0.0,خوشی سے
salutary,0.9,0.0,سلام
commodious,0.9,0.0,کماڈٹی
stable,0.9,0.0,مستحکم
scenic,0.9,0.0,قدرتی
unassailable,0.9,0.0,غیر دستیاب
holy,0.9,0.0,مقدس
invincibility,0.9,0.0,ناقابل تسخیر
enchant,0.9,0.0,پرفتن
appealing,0.9,0.0,اپیل
resolute,0.9,0.0,عزم کرنا
titillatingly,0.9,0.0,عنوان سے
excellence,0.9,0.0,اتکرجتا
perfect,0.9,0.0,کامل
revolutionized,0.9,0.0,انقلاب آگیا
exalted,0.9,0.0,بلند
loves,0.9,0.0,محبت کرتا ہے
accolades,0.9,0.0,تعریف
delectable,0.9,0.0,قابل قابل
wowed,0.9,0.0,واہ واہ
